Sample Count,PPG1,smoothPPG1,PPG2,smoothPPG2
249,1816,-0.6481074256972709,1185,-0.022097638218891234
250,1810,-1.413491952629848,1186,-0.09785617114734343
251,1812,-2.1413441009472702,1185,-0.08061938125319995
252,1811,-2.767385235355194,1186,-0.09676045054468908
253,1809,-3.3243975214949453,1184,-0.1405663173009143
254,1803,-3.861259770897104,1186,-0.14727751056338342
255,1802,-4.281427142219071,1185,-0.17170345887608743
256,1806,-4.614348808698406,1185,-0.21285874321331652
257,1808,-5.023086578535067,1183,-0.22597179400427783
258,1803,-5.4111686604830975,1185,-0.2259565072862083
259,1803,-5.6388629300148825,1186,-0.23320635291551592
260,1805,-5.760186362152208,1185,-0.2514747864222058
261,1810,-5.92903181782946,1185,-0.26941756303112047
262,1806,-6.081318042074334,1185,-0.29279330491064515
263,1807,-6.037076248779789,1182,-0.3219078157409845
264,1809,-5.87299234545201,1185,-0.31166119958684413
265,1812,-5.649087186383719,1184,-0.27744886677183134
266,1816,-5.2889158806111825,1186,-0.2756456925864694
267,1813,-4.899343032411718,1186,-0.2823763908624057
268,1814,-4.386912603663289,1185,-0.25732224076592836
269,1813,-3.849302667466634,1186,-0.2385027269533282
270,1820,-3.403821392625829,1184,-0.25378043564389036
271,1821,-2.985784854842605,1185,-0.27430410027182084
272,1818,-2.5748865952821935,1184,-0.2719161138492958
273,1816,-2.2603212517024347,1183,-0.24865490334190818
274,1818,-1.876758196341756,1186,-0.21716919796426853
275,1822,-1.2960177904188304,1187,-0.18219611080280806
276,1822,-0.9100802098990242,1184,-0.15020116862723845
277,1815,-0.6386852016535989,1186,-0.1313232100448406
278,1817,-0.37710248630840254,1186,-0.11157128186218958
279,1822,-0.1298305658935437,1186,-0.07261292660833031
280,1819,0.030996387363657174,1186,-0.00734470898756677
281,1817,0.07405585027520145,1185,0.07750422906087687
282,1818,0.05773055089060597,1185,0.12014616532765701
283,1819,0.047948359206186814,1185,0.10363151275730559
284,1823,-0.003170151634457455,1183,0.12176678319321932
285,1823,-0.07800778336031085,1186,0.18785811098818658
286,1821,-0.16262309301142408,1186,0.23270199906362068
287,1820,-0.33274158814878774,1185,0.2555347601164086
288,1823,-0.5186181340407754,1186,0.26022564449158603
289,1827,-0.6094989994791083,1185,0.230252547488225
290,1829,-0.7087066354981701,1185,0.193129123223681
291,1824,-0.8981175220664132,1186,0.18476704305428698
292,1826,-0.9939463414238374,1187,0.20449655171493114
293,1832,-0.939289376280301,1185,0.2386566380709264
294,1834,-0.8739728970390381,1184,0.273367355806429
295,1832,-0.8176788478994801,1185,0.2658594206877663
296,1834,-0.7311549514929594,1187,0.2082680064234762
297,1833,-0.5834888533639487,1186,0.16084840087387717
298,1841,-0.3393400441049137,1185,0.11694089383776143
299,1837,-0.09495505811534069,1186,0.054531914125174503
300,1837,0.12586453129275485,1185,0.044376853458703555
301,1835,0.49550379184325966,1186,0.06978098794447077
302,1843,0.9648279449113641,1186,0.05616190648829435
303,1845,1.4310114129576252,1187,0.022457101344825627
304,1844,2.022167210193222,1185,-0.008885317030808651
305,1841,2.7063246726269807,1185,-0.017691629144115355
306,1843,3.3272898237435546,1185,0.014097157575152251
307,1849,3.813523651486353,1184,0.030587408819833
308,1850,4.330043480136591,1186,0.0057344869029167765
309,1848,4.826931904264652,1185,-0.03662468956053131
310,1845,5.289614226313983,1185,-0.07527492934042651
311,1848,5.796784441768138,1185,-0.06309592626315173
312,1854,6.343209700347232,1185,-0.015165801863995947
313,1852,6.789815145979185,1186,-0.0008955685001290833
314,1850,7.077345367146965,1184,-0.012995484032249316
315,1849,7.345568670104512,1186,-0.010575170001797227
316,1859,7.578439747024614,1185,0.003770616482827824
317,1858,7.632956626272773,1185,0.016575855505839857
318,1854,7.593210238705471,1185,0.026919544418916717
319,1853,7.452396855942831,1184,0.01711575199521647
320,1854,7.208033193249821,1186,-0.014120648463328314
321,1860,6.864232634090965,1186,-0.010561644870691972
322,1863,6.502957633008069,1187,0.04549207617350588
323,1858,6.117053803468314,1185,0.08277956373933125
324,1858,5.598683432699786,1185,0.08570395963491453
325,1861,5.008661993308373,1186,0.10179928081399012
326,1864,4.337984357266917,1185,0.12601869686169512
327,1860,3.5993779515955238,1185,0.14966631270371292
328,1856,2.791580887082585,1186,0.20217579925279722
329,1851,2.0207111411678533,1187,0.2589455438163486
330,1851,1.3307733779514943,1187,0.2711768311203984
331,1850,0.5909690437341608,1185,0.26530553660274525
332,1843,-0.1602602628894364,1185,0.280245669837922
333,1834,-0.8635383006755745,1187,0.29677571126259933
334,1832,-1.5177004106740513,1186,0.31181346424407447
335,1835,-2.109241940125295,1186,0.3418919413545928
336,1829,-2.6916392997869703,1185,0.3501958198061158
337,1824,-3.28930524992759,1185,0.3232785404874634
338,1820,-3.794641738517199,1185,0.2990946548985803
339,1825,-4.252685316102564,1186,0.2812419684448706
340,1826,-4.724445028558054,1186,0.25998355818802266
341,1825,-5.105910636308666,1184,0.23606500352624504
342,1822,-5.370740186127085,1186,0.19843185162019436
343,1822,-5.6213791987847666,1187,0.15585210292786922
344,1826,-5.879752832243955,1186,0.12297797312142891
345,1829,-6.105273475204978,1186,0.09772335487833814
346,1829,-6.319504656761147,1185,0.0839619850539334
347,1827,-6.430300771281381,1186,0.08951176642522503
348,1826,-6.353580383554067,1185,0.08974132244944939
349,1835,-6.179469410917672,1186,0.03441410198451917
350,1836,-5.878592941957118,1186,-0.02867530435253219
351,1832,-5.457462012957448,1185,-0.02519341548244788
352,1833,-4.998895699068917,1186,-0.033479124142622885
353,1840,-4.529009560914906,1185,-0.11080317834041249
354,1842,-3.9875161413239835,1186,-0.14255695048847242
355,1837,-3.5243090996446336,1186,-0.0890756185250766
356,1835,-3.1952145449874054,1186,-0.03843866523016888
357,1836,-2.897857599126168,1186,-0.015174555028465084
358,1840,-2.401191452740668,1184,0.001458420903808131
359,1841,-1.86248502987589,1186,0.008030510552757941
360,1838,-1.3046977048563697,1185,0.021105252157013768
361,1833,-0.8667311028330434,1184,0.056159248767458224
362,1838,-0.570337734984501,1187,0.08115877978954902
363,1840,-0.3800941161709006,1185,0.07278425195977499
364,1841,-0.2916617771450426,1187,0.05611615219030659
365,1837,-0.30437943767747505,1185,0.05509608092473304
366,1836,-0.35436704798427715,1186,0.033062660692506185
367,1840,-0.3682903512566139,1187,-0.009853177908474425
368,1844,-0.3561624466911703,1186,-0.0060317997702346166
369,1842,-0.3831096627240359,1186,0.034826219461256386
370,1840,-0.5200031391468404,1185,0.05570326875031772
371,1844,-0.6343389306981367,1185,0.07637061772904434
372,1848,-0.6628981010084505,1186,0.11847552459459232
373,1849,-0.7604804650902302,1186,0.14124355123435742
374,1845,-0.9270472545751184,1187,0.13393490093117752
375,1843,-0.9916368520325207,1187,0.1320336885511751
376,1846,-0.9913709502291445,1186,0.14639913125816634
377,1851,-1.0023680148127063,1185,0.14882503303023054
378,1852,-0.8933851711768873,1188,0.12967871258296218
379,1848,-0.6544717871297159,1187,0.10611665610155567
380,1849,-0.439644369247272,1186,0.0879087804909417
381,1855,-0.24131722174587147,1186,0.09752433848297185
382,1859,-0.016714102498421562,1185,0.1321480641233444
383,1855,0.2340873816186242,1185,0.15412832048079658
384,1852,0.6053478282713645,1187,0.16895148537514934
385,1853,1.0731420081519116,1187,0.16484199940682684
386,1858,1.528676015371292,1185,0.09822437816681384
387,1863,2.075143159794928,1186,0.03226707473829342
388,1858,2.735328134951436,1185,0.02797430901983447
389,1859,3.3983556394847,1187,0.032084521403670824
390,1865,4.078981644960388,1186,0.014609265820597173
391,1867,4.594536553459976,1188,-0.002519366323957037
392,1867,5.156122107499126,1186,0.0065867353714677696
393,1861,5.688802673735593,1187,0.05907227349015602
394,1861,6.203279795434856,1186,0.1177729326410018
395,1867,6.691011531294898,1187,0.1171348567808934
396,1870,7.163120178009974,1186,0.061604462275807986
397,1867,7.629209908165363,1185,0.01752117069686101
398,1867,8.031180040848108,1186,0.012178047211317468
399,1868,8.330709029325217,1186,0.02105395110245947
400,1873,8.541993123670398,1187,0.049978583086516364
401,1875,8.528099270975343,1186,0.08100232116619503
402,1871,8.298143999242086,1186,0.06096267568375017
403,1870,8.024390018058654,1187,0.062325115773961784
404,1872,7.768517312878652,1187,0.14744545069060339
405,1878,7.379337659921224,1187,0.19828228535017425
406,1877,6.874791267521058,1187,0.16598676871177506
407,1873,6.39835120885631,1186,0.11937030743697154
408,1877,5.928888136633654,1186,0.044011503386249214
409,1876,5.324188474140751,1185,-0.010735398183721531
410,1877,4.645333731904803,1186,0.04111846117200911
411,1875,3.8507722924644012,1188,0.09410319958144468
412,1867,3.06684945678316,1187,0.07381229226241218
413,1864,2.282334977994134,1187,0.04855225962834421
414,1866,1.469304506124751,1186,0.024560347569019828
415,1861,0.6812101271889314,1188,0.006678232874977329
416,1854,-0.04810457181055064,1186,0.012220309472215762
417,1845,-0.6666691433608443,1187,0.01916407319311615
418,1848,-1.174863669505198,1185,0.029550215356695796
419,1848,-1.7765067300489683,1185,0.0356941318054791
420,1842,-2.4995882548331902,1186,0.024863708944898925
421,1839,-3.142423884731683,1187,0.017727642692154114
422,1836,-3.684088044922203,1187,-0.003022416106196857
423,1840,-4.184523049837966,1186,-0.042123410308830225
424,1842,-4.619072916899744,1186,-0.05436961344680383
425,1836,-4.982748993515629,1186,-0.04481326075865502
426,1838,-5.293443889649857,1186,-0.04192552695280257
427,1843,-5.540978321900467,1187,-0.026009083367019778
428,1847,-5.730005520931501,1185,0.01899290687131626
429,1846,-5.891808695666798,1185,0.058928812219769394
430,1843,-5.958322132076476,1185,0.06449571182708139
431,1845,-5.937090767305068,1187,0.06955793053339897
432,1849,-5.859549647462728,1188,0.0892988936660857
433,1851,-5.607351061147696,1187,0.08740197335993996
434,1851,-5.220763317174065,1188,0.05503998141516728
435,1847,-4.846165606000616,1185,0.018025057211378055
436,1848,-4.321652125014934,1185,0.0012980041219431623
437,1853,-3.6765913163819817,1187,0.011189666842979493
438,1854,-3.193618976250481,1185,0.023321991538802093
439,1854,-2.8521292980106523,1187,0.021946033212773296
440,1850,-2.5051376676399513,1186,0.03150774360389062
441,1854,-2.1778145509227773,1186,0.044490813165600454
442,1856,-1.605026103661791,1187,0.04050059753850934
443,1849,-1.0917264954824066,1186,0.042845418539886194
444,1850,-0.6707607348956603,1186,0.0244353594235844
445,1851,-0.3840715374510155,1187,-0.050160196617263474
446,1855,-0.13382872011815797,1187,-0.08558969382860875
