PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 3
LED Wavelength: LED Red
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 4
LED Wavelength: LED Red

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 253141 at 12-35-48.220 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
237,24008,27551,35,0
238,24006,27546,37,0
239,24009,27544,36,0
240,24012,27534,36,0
241,24011,27525,37,0
242,24007,27525,37,0
243,24014,27514,35,0
244,24008,27510,36,0
245,24010,27502,37,0
246,24007,27500,35,1
247,24004,27507,36,0
248,24013,27497,36,3
249,24003,27499,36,1
250,24006,27495,37,1
251,24002,27517,35,0
252,24006,27539,33,0
253,24004,27583,36,0
254,24006,27621,37,1
255,24007,27662,35,0
256,24000,27713,36,0
257,24004,27753,36,0
258,24001,27793,36,1
259,23999,27809,35,0
260,23993,27824,36,0
261,23999,27828,35,1
262,23996,27833,37,1
263,24008,27809,37,0
264,24002,27801,36,0
265,24011,27777,37,0
266,24010,27755,36,2
267,24011,27736,35,1
268,24015,27718,36,1
269,24018,27703,36,3
270,24023,27686,37,1
271,24023,27661,35,0
272,24019,27650,34,3
273,24029,27625,38,2
274,24026,27618,37,1
275,24033,27600,35,0
276,24028,27594,35,1
277,24028,27598,36,0
278,24032,27597,36,0
279,24024,27603,35,0
280,24019,27605,36,0
281,24012,27612,36,0
282,24004,27630,35,0
283,24008,27631,34,0
284,24003,27637,36,0
285,24003,27653,36,0
286,24008,27643,35,1
287,23998,27650,35,0
288,24001,27652,37,0
289,24002,27648,36,0
290,24001,27649,37,0
291,24006,27643,37,0
292,24004,27638,35,0
293,24008,27626,35,0
294,24009,27612,36,0
295,24004,27614,37,0
296,24015,27603,36,0
297,24008,27594,37,0
298,24006,27586,36,0
299,24003,27579,36,0
300,24006,27570,35,0
301,24007,27561,38,0
302,24006,27553,36,0
303,24005,27561,35,0
304,24015,27549,36,0
305,24006,27547,36,0
306,24008,27549,36,0
307,24011,27547,38,0
308,24010,27550,36,0
309,24012,27534,35,0
310,24002,27540,35,0
311,24008,27539,36,0
312,24011,27536,37,0
313,24012,27544,35,0
314,24016,27549,35,0
315,24017,27561,36,0
316,24012,27587,36,0
317,24006,27620,35,0
318,24001,27680,35,0
319,24012,27721,34,1
320,24004,27777,34,0
321,24011,27816,37,1
322,24005,27846,35,0
323,24005,27871,37,0
324,24005,27883,36,0
325,24001,27888,36,0
326,24001,27891,38,0
327,24009,27876,38,0
328,24010,27858,36,0
329,24014,27835,37,0
330,24016,27805,36,0
331,24016,27792,36,0
332,24026,27775,37,0
333,24025,27757,36,0
334,24031,27738,35,0
335,24031,27718,36,1
336,24032,27697,36,2
337,24037,27680,37,0
338,24039,27671,35,0
339,24047,27654,37,1
340,24044,27647,37,0
341,24044,27641,34,0
342,24045,27635,37,1
343,24032,27652,35,3
344,24035,27669,36,2
345,24031,27676,35,0
346,24024,27679,36,0
347,24017,27692,36,1
348,24019,27696,36,0
349,24015,27712,36,1
350,24025,27706,35,2
351,24014,27717,34,1
352,24025,27715,36,0
353,24024,27716,36,0
354,24024,27714,36,0
355,24029,27702,36,1
356,24023,27699,35,0
357,24027,27693,36,1
358,24027,27689,38,0
359,24032,27685,36,0
360,24036,27671,34,0
361,24028,27673,36,0
362,24033,27669,36,0
363,24035,27662,35,1
364,24034,27658,35,1
365,24035,27650,36,0
366,24036,27646,36,0
367,24035,27647,36,1
368,24042,27637,36,1
369,24037,27633,37,2
370,24037,27628,36,2
371,24035,27630,36,2
372,24039,27626,36,1
373,24042,27621,36,1
374,24037,27622,35,0
375,24039,27622,37,0
376,24040,27621,37,0
377,24039,27617,37,0
378,24040,27618,36,0
379,24036,27642,36,0
380,24039,27674,36,0
381,24036,27711,35,0
382,24033,27762,37,0
383,24040,27802,35,0
384,24033,27853,36,0
385,24034,27900,35,0
386,24032,27919,37,0
387,24024,27937,37,0
388,24031,27937,38,3
389,24029,27930,37,3
390,24032,27921,36,1
391,24034,27894,36,0
392,24028,27890,36,0
393,24044,27862,37,0
394,24039,27846,37,0
395,24043,27827,36,0
396,24042,27803,35,0
397,24041,27802,37,1
398,24051,27777,36,2
399,24049,27758,37,0
400,24050,27736,34,0
401,24049,27722,34,3
402,24055,27712,36,1
403,24061,27698,35,2
404,24057,27685,36,1
405,24048,27682,38,0
406,24048,27681,36,0
407,24039,27690,37,1
408,24043,27699,36,0
409,24043,27694,36,2
410,24028,27702,36,1
411,24031,27708,37,1
412,24029,27715,37,0
413,24032,27714,36,0
414,24030,27720,35,1
415,24032,27723,35,0
416,24034,27722,35,0
417,24030,27719,36,0
418,24033,27712,36,1
419,24028,27710,36,0
420,24031,27693,35,2
421,24027,27687,35,3
422,24032,27686,37,1
423,24036,27675,36,0
424,24036,27656,36,0
425,24029,27663,36,0
426,24037,27651,36,0
427,24038,27645,34,0
428,24037,27643,36,0
429,24039,27634,35,0
430,24036,27631,36,0
431,24038,27626,37,0
432,24037,27618,35,1
433,24035,27623,35,0
434,24042,27611,34,1
435,24034,27616,36,0
436,24044,27603,36,0
437,24039,27598,37,1
438,24041,27597,37,0
439,24045,27590,36,0
440,24043,27592,36,0
441,24046,27594,36,0
442,24047,27603,35,1
443,24048,27624,37,0
444,24049,27649,35,0
445,24037,27689,35,0
446,24040,27732,36,0
447,24042,27767,35,0
448,24034,27821,36,0
449,24044,27844,36,0
450,24035,27868,36,0
451,24034,27882,36,2
452,24037,27887,36,0
453,24036,27881,36,0
454,24033,27865,36,0
455,24030,27852,35,0
456,24031,27839,36,1
457,24038,27822,36,1
458,24040,27795,36,0
459,24039,27773,37,0
460,24038,27746,36,0
461,24035,27734,37,0
462,24044,27701,36,1
463,24035,27686,35,0
464,24046,27662,35,0
465,24045,27644,37,0
466,24046,27635,35,0
467,24053,27623,36,0
468,24044,27623,35,0
469,24043,27623,35,0
470,24039,27624,35,0
471,24035,27624,37,0
472,24034,27617,36,0
473,24024,27621,36,0
474,24024,27624,36,1
475,24028,27626,36,1
476,24024,27635,35,0
477,24027,27634,37,0
478,24022,27633,36,0
479,24017,27640,34,0
480,24023,27640,35,0
481,24021,27636,35,0
482,24023,27631,38,1
483,24022,27631,35,1
484,24026,27620,36,0
485,24025,27606,37,0
486,24019,27608,37,0
487,24029,27595,36,0
488,24024,27587,36,0
489,24025,27575,38,0
490,24025,27563,36,4
491,24019,27554,36,1
492,24023,27554,35,0
493,24027,27549,35,0
494,24026,27545,36,0
495,24024,27546,36,0
496,24022,27536,35,0
497,24021,27540,36,0
498,24025,27536,35,0
499,24031,27522,36,0
500,24022,27517,36,0
501,24020,27513,36,2
502,24023,27505,35,0
503,24023,27502,35,1
504,24022,27506,36,0
505,24029,27507,35,0
506,24024,27516,37,1
507,24020,27537,36,0
508,24017,27570,38,2
509,24012,27612,36,1
510,24014,27656,34,0
511,24014,27703,36,0
512,24011,27734,36,0
513,24001,27771,36,0
514,23998,27794,36,0
515,24000,27803,36,0
516,23999,27800,36,0
517,23995,27802,35,0
518,24003,27787,36,0
519,24000,27772,37,0
520,24001,27747,36,0
521,23994,27731,35,0
522,23997,27717,35,0
523,24000,27697,36,3
524,24001,27678,36,0
525,24002,27654,35,0
526,23997,27631,36,0
527,23999,27612,37,0
528,24002,27600,34,1
529,24007,27588,36,0
530,24012,27568,37,0
531,24003,27551,36,0
532,23997,27553,37,0
533,24001,27552,36,1
534,24000,27538,34,0
535,23985,27547,35,0
536,23988,27546,36,0
537,23984,27558,35,0
538,23992,27557,36,0
539,23984,27563,37,0
540,23986,27573,36,0
541,23992,27564,35,2
542,23979,27571,36,3
543,23980,27573,34,2
544,23978,27572,36,1
545,23980,27571,35,0
546,23985,27561,35,1
547,23980,27555,36,0
548,23985,27544,38,1
549,23988,27533,35,1
550,23987,27532,37,0
551,23996,27516,37,0
552,23990,27514,36,0
553,23996,27507,36,0
554,23994,27495,35,0
555,23985,27502,37,0
556,23996,27494,35,0
557,23992,27490,36,0
558,23991,27491,35,0
559,23992,27479,36,0
560,23983,27483,35,0
561,23993,27470,34,0
562,23987,27470,36,0
563,23993,27459,37,0
564,23989,27455,36,0
565,23987,27457,36,0
566,23992,27451,36,0
567,23991,27448,34,0
568,23990,27454,34,0
569,23996,27457,37,2
570,23990,27467,33,0
571,23986,27493,36,0
572,23983,27533,38,0
573,23977,27581,36,0
574,23982,27618,36,0
575,23975,27669,36,1
576,23981,27700,37,0
577,23973,27721,37,0
578,23964,27744,36,0
579,23970,27746,35,0
580,23963,27748,35,0
581,23965,27742,37,0
582,23967,27732,35,1
583,23969,27713,35,1
584,23967,27683,37,0
585,23963,27664,35,0
586,23965,27644,37,0
587,23970,27621,35,0
588,23968,27596,36,0
589,23969,27575,35,0
590,23965,27568,36,0
591,23979,27544,38,0
592,23979,27527,35,0
593,23983,27527,37,0
594,23990,27512,36,0
595,23986,27496,36,0
596,23972,27502,35,2
597,23980,27505,36,0
598,23974,27506,36,0
599,23966,27523,35,0
600,23975,27527,36,1
601,23969,27540,34,1
602,23974,27549,36,0
603,23973,27559,35,0
604,23977,27559,36,0
605,23972,27560,35,0
606,23969,27575,35,0
607,23978,27573,35,2
608,23974,27570,36,2
609,23970,27572,37,0
610,23973,27556,36,0
611,23966,27552,36,0
612,23971,27547,38,0
613,23972,27539,35,0
614,23972,27534,36,0
615,23977,27524,35,2
616,23969,27524,36,1
617,23972,27507,36,0
618,23966,27510,38,1
619,23971,27508,36,1
620,23973,27495,37,0
621,23963,27496,35,0
622,23970,27494,36,0
623,23973,27477,36,0
624,23965,27482,36,0
625,23976,27473,35,0
626,23969,27472,34,0
627,23973,27462,37,1
628,23967,27462,37,0
629,23973,27456,36,0
630,23970,27452,35,0
631,23966,27458,35,1
632,23967,27468,37,0
633,23966,27497,36,0
634,23969,27530,36,0
635,23967,27575,35,0
636,23967,27615,36,1
637,23964,27658,35,0
638,23961,27695,35,1
639,23960,27729,33,3
640,23964,27752,37,1
641,23963,27747,35,1
642,23953,27749,36,1
643,23959,27733,36,3
644,23956,27721,35,2
645,23962,27703,36,1
646,23959,27681,37,2
647,23963,27655,35,0
648,23966,27636,36,0
649,23967,27624,36,0
650,23976,27592,35,0
651,23971,27576,35,0
652,23974,27564,36,0
653,23987,27542,35,0
654,23986,27533,36,0
655,23990,27515,36,0
656,23984,27506,35,0
657,23979,27500,37,0
658,23978,27499,36,0
659,23974,27502,35,0
660,23971,27518,35,0
661,23977,27522,36,1
662,23969,27537,35,0
663,23972,27547,36,0
664,23972,27558,36,0
665,23971,27565,37,0
666,23971,27576,36,0
667,23974,27583,34,2
668,23976,27585,36,4
669,23975,27587,37,1
670,23972,27585,35,0
671,23973,27576,36,1
672,23970,27571,36,1
673,23977,27562,35,0
674,23973,27560,35,0
675,23980,27545,35,0
676,23979,27533,35,0
677,23976,27533,36,2
678,23983,27522,37,0
679,23979,27521,36,0
680,23983,27516,36,0
681,23988,27498,35,0
682,23976,27498,36,1
683,23983,27494,37,0
684,23984,27489,35,0
685,23988,27486,35,1
686,23994,27474,35,1
687,23989,27468,36,1
688,23990,27463,36,0
689,23994,27455,36,0
690,23990,27452,36,0
691,23997,27448,37,0
692,23992,27464,37,0
693,23995,27485,36,0
694,23990,27529,36,0
695,23984,27578,35,0
696,23991,27619,34,1
697,23990,27655,35,0
698,23981,27695,35,0
699,23987,27715,37,0
700,23981,27730,36,1
701,23981,27730,35,0
702,23981,27726,35,0
703,23982,27710,36,1
704,23980,27691,35,2
705,23978,27677,37,0
706,23983,27655,37,1
707,23980,27636,36,0
708,23980,27619,36,0
709,23983,27596,38,0
710,23978,27575,35,2
711,23980,27562,36,1
712,23980,27539,36,0
713,23984,27526,36,0
714,23991,27506,35,0
715,23984,27495,35,2
716,23986,27486,35,1
717,23988,27477,35,2
718,23982,27478,35,0
719,23981,27478,36,0
720,23975,27490,36,0
721,23981,27498,35,0
722,23981,27502,36,0
723,23974,27518,36,1
724,23979,27523,36,1
725,23973,27532,36,2
726,23977,27535,37,1
727,23979,27534,37,0
728,23981,27540,36,0
729,23988,27531,36,0
730,23982,27518,34,0
731,23978,27522,36,0
732,23988,27514,36,0
733,23983,27515,35,0
734,23989,27504,36,0
735,23986,27495,36,0
736,23984,27489,36,0
737,23991,27477,37,2
738,23986,27469,36,0
739,23992,27460,35,0
