PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 35361 at 12-31-36.413 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
285,48,59,38,20
286,49,61,38,20
287,49,60,41,20
288,50,59,39,20
289,49,62,40,20
290,50,61,38,21
291,48,59,42,22
292,49,59,39,20
293,49,60,38,20
294,49,60,39,19
295,48,60,37,21
296,50,61,38,23
297,50,59,39,20
298,49,60,39,20
299,49,59,39,19
300,49,60,37,20
301,49,58,38,20
302,49,60,38,20
303,48,62,40,19
304,48,60,38,21
305,48,60,38,21
306,50,61,39,21
307,48,59,39,20
308,48,60,39,21
309,48,60,38,20
310,48,60,38,21
311,48,59,37,20
312,49,60,39,21
313,49,58,38,20
314,49,58,38,20
315,48,60,39,20
316,49,60,38,19
317,48,59,38,21
318,47,60,38,20
319,48,61,38,21
320,50,60,38,19
321,49,61,39,20
322,51,61,39,20
323,48,59,38,20
324,47,60,38,19
325,49,59,37,21
326,48,61,39,21
327,48,59,39,21
328,49,60,38,20
329,49,60,39,19
330,49,59,38,19
331,47,61,39,20
332,50,60,37,19
333,48,60,39,20
334,49,61,36,20
335,50,59,38,20
336,50,60,39,20
337,47,61,40,21
338,47,60,38,20
339,49,61,39,20
340,48,61,40,20
341,49,58,39,21
342,50,59,39,21
343,49,59,37,19
344,49,60,39,21
345,49,58,38,20
346,49,60,38,20
347,49,59,38,20
348,50,59,38,20
349,50,59,37,22
350,47,60,38,20
351,49,58,39,20
352,48,59,39,21
353,49,60,39,20
354,50,60,38,20
355,49,59,39,21
356,49,60,39,20
357,48,59,38,20
358,49,60,39,21
359,49,60,40,19
360,49,59,39,21
361,49,61,38,20
362,47,60,38,20
363,50,60,39,21
364,48,60,39,19
365,49,60,40,19
366,46,59,39,21
367,49,60,39,21
368,49,60,39,19
369,49,60,38,20
370,48,59,40,20
371,50,60,40,19
372,49,59,38,20
373,49,60,38,20
374,49,59,38,20
375,48,60,39,20
376,48,60,39,19
377,48,60,39,20
378,50,60,39,19
379,49,58,37,20
380,48,58,38,19
381,49,60,39,21
382,49,61,38,20
383,50,60,39,20
384,49,60,39,21
385,49,60,39,19
386,49,59,39,20
387,49,61,39,20
388,48,59,37,21
389,48,59,39,20
390,49,60,40,19
391,49,61,39,20
392,50,59,37,20
393,49,60,40,20
394,48,61,38,20
395,49,58,38,20
396,48,61,39,21
397,48,60,39,20
398,49,60,40,20
399,48,59,39,21
400,49,60,39,19
401,49,60,38,19
402,49,60,38,20
403,49,60,39,20
404,50,59,38,20
405,51,61,40,21
406,49,59,38,21
407,49,58,39,21
408,49,59,39,21
409,49,60,39,20
410,50,59,38,21
411,50,60,39,21
412,49,59,40,20
413,49,59,40,22
414,48,59,37,20
415,49,61,37,19
416,49,60,39,19
417,48,60,38,19
418,49,60,39,19
419,49,60,39,20
420,48,59,38,21
421,48,60,37,20
422,50,60,40,21
423,50,60,38,19
424,50,58,39,20
425,48,59,38,20
426,47,61,38,20
427,50,60,37,20
428,48,59,39,20
429,49,58,39,20
430,48,59,36,21
431,50,60,39,20
432,48,62,39,20
433,49,61,38,21
434,48,60,40,20
435,49,60,39,20
436,48,60,38,20
437,48,59,38,19
438,48,60,39,20
439,49,60,38,22
440,51,58,37,19
441,48,59,39,19
442,50,61,38,20
443,49,59,39,20
444,48,60,40,20
445,49,58,38,22
446,48,60,38,20
447,49,59,39,20
448,49,60,39,20
449,47,59,38,20
450,49,60,39,20
451,49,58,39,20
452,49,60,38,20
453,49,60,41,20
454,48,60,40,20
455,48,59,38,22
456,49,58,38,19
457,48,58,39,20
458,48,59,39,21
459,49,61,39,21
460,48,59,37,19
461,49,60,39,21
462,47,60,38,21
463,48,61,39,20
464,49,61,37,22
465,48,58,39,21
466,48,59,38,19
467,48,61,39,19
468,49,59,39,20
469,50,60,38,21
470,49,59,39,21
471,48,61,39,20
472,48,60,38,21
473,48,59,37,21
474,50,60,38,19
475,49,59,38,21
476,49,59,38,21
477,48,58,37,21
478,50,60,38,19
479,49,62,39,21
480,48,59,38,20
481,49,60,39,19
482,49,59,39,22
483,48,60,38,19
484,48,61,38,20
485,49,59,39,21
486,48,60,39,20
487,49,58,38,19
488,47,59,39,21
489,48,61,39,20
490,48,59,38,20
491,49,59,39,20
492,49,59,39,21
493,49,60,38,21
494,50,59,38,22
495,48,59,39,18
496,49,59,39,20
497,48,60,39,21
498,47,61,41,21
499,48,60,38,20
500,47,59,41,19
501,49,61,40,22
502,49,59,39,21
503,48,59,38,20
504,50,57,38,21
505,49,59,39,21
506,50,61,38,20
507,48,59,40,22
508,49,59,38,20
509,49,59,40,19
510,47,60,39,20
511,50,60,38,20
512,47,59,38,20
513,49,58,38,19
514,51,60,37,21
515,50,60,38,19
516,51,60,40,19
517,50,58,38,20
518,49,58,40,19
519,49,60,39,20
520,50,60,38,20
521,49,61,39,20
522,49,59,39,21
523,49,59,38,21
524,49,59,38,20
525,48,59,38,20
526,49,60,40,21
527,49,61,39,20
528,49,59,39,20
529,48,58,38,19
530,47,61,38,20
531,49,60,40,21
532,50,60,39,20
533,48,60,39,20
534,48,59,38,21
535,48,60,38,20
536,49,61,39,20
537,49,60,39,20
538,49,60,39,20
539,48,59,40,22
540,49,60,39,20
541,49,59,38,20
542,50,61,39,20
543,50,59,39,21
544,48,60,38,22
545,49,60,39,19
546,49,60,41,19
547,50,58,40,18
548,48,59,39,20
549,49,59,40,21
550,49,60,38,20
551,47,60,39,22
552,49,60,39,21
553,49,60,39,19
554,50,60,39,18
555,48,59,37,19
556,48,60,37,20
557,48,60,38,20
558,50,60,38,19
559,48,59,39,21
560,48,58,38,20
561,47,60,40,21
562,48,58,39,19
563,48,59,38,20
564,49,59,40,20
565,49,61,40,19
566,49,59,39,20
567,48,60,37,19
568,49,60,38,20
569,47,60,39,19
570,49,59,38,20
571,49,60,39,20
572,49,61,40,21
573,47,58,40,19
574,49,60,39,19
575,49,60,39,19
576,50,60,38,20
577,47,59,39,19
578,50,58,37,20
579,48,58,38,20
580,48,60,38,20
581,49,60,37,21
582,49,59,39,20
583,50,59,38,19
584,49,61,39,19
585,48,58,38,19
586,49,61,39,19
587,49,60,37,19
588,49,59,39,20
589,50,60,38,20
590,49,60,39,19
591,48,59,36,20
592,47,59,37,20
593,49,60,39,20
594,47,58,38,20
595,49,60,37,19
596,49,60,39,20
597,49,60,37,21
598,49,60,37,19
599,49,60,38,19
600,51,60,38,19
601,49,59,39,20
602,48,60,39,20
603,48,60,39,18
604,49,61,38,21
605,50,60,38,19
606,49,60,38,20
607,48,60,39,21
608,49,60,40,20
609,48,59,36,21
610,49,62,39,20
611,50,60,38,20
612,49,61,38,21
613,48,61,37,20
614,49,60,39,21
615,48,60,38,21
616,48,59,37,19
617,50,59,39,21
618,48,59,37,20
619,49,61,40,18
620,49,60,39,20
621,50,59,39,19
622,48,59,38,19
623,49,59,40,20
624,50,59,37,22
625,49,60,38,20
626,49,59,38,21
627,48,60,38,18
628,49,61,38,19
629,48,60,37,19
630,49,59,39,18
631,47,59,38,19
632,49,60,39,20
633,48,60,37,20
634,50,61,38,21
635,48,60,37,19
636,49,60,39,19
637,49,61,38,21
638,47,59,38,20
639,48,60,39,20
640,49,60,39,18
641,50,60,38,19
642,51,60,38,22
643,49,60,38,20
644,48,60,39,20
645,48,59,37,21
646,49,60,39,20
647,48,59,38,20
648,48,59,40,20
649,49,60,39,19
650,49,59,38,21
651,49,60,38,19
652,48,58,38,19
653,49,61,37,19
654,48,60,37,19
655,50,59,38,21
656,49,61,39,21
657,49,60,39,20
658,50,60,38,20
659,47,59,38,20
660,49,60,37,20
661,49,61,39,19
662,48,60,37,19
663,50,59,38,20
664,49,60,39,20
665,48,59,37,21
666,49,59,38,20
667,50,60,39,19
668,49,61,38,20
669,48,60,39,19
670,50,59,38,19
671,49,60,38,19
672,50,60,39,19
673,49,60,39,19
674,49,60,37,20
675,47,60,37,19
676,49,60,39,20
677,48,60,38,19
678,48,59,37,18
679,49,59,39,20
680,49,59,38,21
681,49,60,38,18
682,49,60,38,18
683,49,60,39,20
684,50,60,38,20
685,49,61,37,20
686,47,60,39,21
687,48,60,38,19
688,49,61,40,20
689,49,59,39,20
690,49,59,39,20
691,49,60,38,19
692,48,59,38,19
693,48,60,38,18
694,50,60,37,20
695,49,61,39,19
696,50,60,39,19
697,50,59,39,19
698,48,59,38,20
699,49,60,39,19
700,49,60,38,20
701,49,59,39,19
702,50,60,38,20
703,49,59,39,20
704,48,61,41,22
705,48,61,39,21
706,49,61,38,19
707,51,59,38,19
708,49,60,38,19
709,48,58,39,21
710,49,59,39,20
711,49,59,39,21
712,48,58,37,20
713,48,59,39,20
714,51,59,39,21
715,50,59,37,20
716,47,61,38,21
717,49,58,41,20
718,48,62,39,19
719,49,59,38,21
720,49,61,39,22
721,48,60,39,20
722,47,61,39,19
723,49,61,38,19
724,49,62,39,20
725,50,60,37,21
726,50,60,40,20
727,49,60,39,18
728,49,60,38,20
729,48,61,38,19
730,49,61,40,20
731,48,60,37,19
732,50,59,38,19
733,48,60,39,20
734,49,59,38,19
735,48,60,39,20
736,50,59,38,20
737,48,59,38,20
738,48,59,38,20
739,49,61,39,21
740,49,59,37,21
741,49,59,38,20
742,49,61,39,20
743,48,60,38,21
744,48,59,39,18
745,49,58,39,18
746,49,59,39,21
747,48,59,37,21
748,49,61,38,20
749,48,60,38,20
750,48,59,39,18
751,47,61,37,20
752,49,60,37,19
753,49,59,39,20
754,48,60,40,19
755,48,59,38,19
756,49,60,38,19
757,49,60,39,19
758,49,60,39,19
759,49,62,39,20
760,49,60,39,19
761,49,60,38,20
762,48,59,40,19
763,49,61,38,21
764,48,60,38,19
765,49,60,41,20
766,51,60,38,21
767,49,61,40,20
768,48,60,39,21
769,48,60,40,21
770,50,59,38,20
771,48,60,37,20
772,48,60,38,20
773,50,59,39,19
774,49,58,37,21
775,48,59,38,19
776,49,59,39,21
777,49,57,39,19
778,48,60,38,20
779,51,59,38,21
780,48,60,38,20
781,48,59,39,19
782,49,62,39,18
783,48,59,37,20
784,48,59,38,21
785,50,59,39,21
786,49,60,40,20
787,48,59,39,20
788,48,59,39,20
789,51,61,39,20
790,49,60,38,20
791,49,58,38,20
792,49,61,39,21
793,48,60,38,18
794,49,61,38,21
795,49,61,37,22
796,49,59,39,19
797,47,59,40,20
798,48,59,37,20
799,50,61,39,20
800,49,59,38,20
801,49,60,38,19
802,48,59,38,20
803,50,61,37,21
804,49,59,39,17
805,49,60,38,19
806,47,60,39,19
807,49,60,39,20
808,48,60,37,19
809,49,60,39,20
810,50,60,41,20
811,49,60,39,20
812,48,58,38,20
813,49,60,38,19
814,49,60,39,20
815,49,60,39,20
816,49,61,38,19
817,47,59,39,19
818,47,60,40,21
819,49,59,41,21
820,47,58,39,20
821,50,59,39,21
822,47,61,38,20
823,51,59,40,21
824,49,60,39,21
825,48,60,38,20
826,47,60,37,19
827,49,61,36,20
828,49,59,38,20
829,48,60,38,20
830,48,59,39,20
831,50,60,38,20
832,48,59,39,20
833,49,61,39,19
834,50,59,38,19
835,48,59,40,19
836,49,58,39,21
837,48,60,38,19
838,48,60,38,20
839,48,59,38,20
840,51,61,38,19
841,48,60,38,21
842,49,59,40,20
843,49,59,39,21
844,50,59,39,21
845,49,58,38,20
846,49,60,39,20
847,49,61,39,21
848,49,60,38,20
849,48,60,40,20
850,48,60,37,18
851,48,62,39,21
852,48,60,38,20
853,48,59,38,22
854,48,60,37,19
855,49,60,38,20
856,50,60,40,19
857,47,59,39,20
858,49,60,40,20
859,49,59,40,19
860,49,60,39,19
861,49,60,39,20
862,50,59,39,19
863,49,59,37,20
864,49,59,40,20
865,49,60,39,18
866,48,59,38,19
867,49,60,39,20
868,48,58,39,18
869,49,59,38,19
870,49,60,40,20
871,48,60,36,20
872,49,59,39,20
873,49,60,39,20
874,49,61,39,21
875,48,61,39,20
876,50,59,40,21
877,49,61,40,20
878,50,60,38,20
879,49,58,38,19
880,50,61,38,19
881,48,59,39,19
882,48,60,38,18
883,49,60,39,20
884,49,61,38,22
885,48,61,40,21
886,49,59,37,21
887,49,59,39,19
888,49,60,38,20
889,48,60,38,21
890,49,60,37,20
891,48,60,37,21
892,49,58,38,19
893,50,61,38,20
894,50,61,39,21
895,48,60,38,20
896,47,58,38,20
897,48,59,38,19
898,50,59,39,21
899,48,58,38,19
900,49,59,39,20
901,49,61,37,18
902,49,59,38,20
903,49,61,41,20
904,49,61,39,20
905,49,61,40,22
906,50,59,39,20
907,50,61,39,21
908,49,61,38,20
909,50,60,38,18
910,48,61,38,20
911,48,60,37,21
912,48,60,38,21
913,50,60,40,20
914,48,61,40,19
915,50,59,37,20
916,50,59,37,22
917,49,62,39,19
918,49,60,37,19
919,47,60,39,20
920,50,59,39,20
921,48,60,38,20
922,49,60,38,21
923,49,60,38,20
924,48,59,38,21
925,48,60,39,21
926,50,60,39,19
927,50,60,37,20
928,51,60,39,19
929,48,58,38,19
930,49,60,39,20
931,49,59,40,19
932,48,60,39,19
933,48,60,38,19
934,48,58,39,20
935,48,60,39,20
936,48,59,38,19
937,47,59,39,21
938,49,60,39,20
939,48,60,39,21
940,49,60,39,20
941,49,60,38,20
942,48,60,39,20
943,48,61,37,20
944,49,60,39,19
945,50,59,40,19
946,49,59,38,21
947,49,59,39,22
