PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 3
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 7
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 134547 at 12-33-30.564 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,20149,58349,43,82
1,20205,58357,42,40
2,20195,58343,44,22
3,20188,58352,41,13
4,20184,58339,44,11
5,20169,58342,42,8
6,20173,58334,43,9
7,20165,58345,42,5
8,20172,58339,41,4
9,20172,58321,43,6
10,20160,58326,42,8
11,20168,58315,43,5
12,20159,58310,43,6
13,20161,58324,44,3
14,20171,58312,42,2
15,20165,58312,43,5
16,20174,58304,43,3
17,20166,58315,42,5
18,20171,58309,42,5
19,20173,58302,45,2
20,20168,58297,42,3
21,20176,58296,43,2
22,20172,58282,44,3
23,20169,58293,43,1
24,20176,58286,42,3
25,20171,58297,41,2
26,20179,58267,42,2
27,20169,58276,43,3
28,20166,58284,43,5
29,20176,58278,42,4
30,20169,58273,44,4
31,20173,58273,41,5
32,20173,58275,43,6
33,20172,58265,43,6
34,20178,58251,42,4
35,20166,58265,42,4
36,20176,58262,41,4
37,20175,58256,44,2
38,20173,58245,42,3
39,20177,58244,43,5
40,20170,58253,43,8
41,20178,58236,42,8
42,20174,58240,43,7
43,20174,58242,42,5
44,20180,58234,43,6
45,20177,58230,44,7
46,20174,58232,43,7
47,20182,58239,42,7
48,20179,58221,44,7
49,20181,58224,43,5
50,20176,58214,42,5
51,20174,58224,42,4
52,20182,58214,43,5
53,20170,58214,43,4
54,20179,58214,43,0
55,20176,58207,42,0
56,20176,58214,43,0
57,20182,58212,42,0
58,20175,58216,43,0
59,20179,58197,42,0
60,20167,58204,43,0
61,20164,58201,42,0
62,20162,58190,41,0
63,20146,58201,43,0
64,20148,58183,43,0
65,20138,58180,41,0
66,20127,58203,42,0
67,20134,58180,42,0
68,20109,58194,42,0
69,20107,58182,42,0
70,20093,58183,44,0
71,20079,58166,42,0
72,20070,58176,43,0
73,20061,58176,44,0
74,20061,58173,43,0
75,20056,58174,44,0
76,20050,58161,43,0
77,20058,58162,43,0
78,20060,58167,42,0
79,20071,58162,45,0
80,20077,58158,41,0
81,20072,58152,42,0
82,20076,58147,43,0
83,20076,58152,43,0
84,20073,58152,42,0
85,20076,58141,41,0
86,20062,58153,42,0
87,20067,58150,42,0
88,20061,58145,42,0
89,20059,58146,43,0
90,20066,58140,43,0
91,20059,58134,44,0
92,20062,58131,43,0
93,20060,58149,43,0
94,20063,58138,42,0
95,20066,58135,43,0
96,20054,58126,40,0
97,20054,58124,44,0
98,20053,58130,43,0
99,20053,58120,43,0
100,20058,58114,43,0
101,20055,58120,42,0
102,20058,58106,43,0
103,20058,58115,42,0
104,20055,58105,43,0
105,20057,58112,43,0
106,20052,58118,44,0
107,20060,58098,42,0
108,20057,58101,43,0
109,20056,58102,42,0
110,20066,58096,41,0
111,20065,58103,42,0
112,20082,58094,42,0
113,20098,58105,42,0
114,20116,58097,41,0
115,20137,58084,42,2
116,20142,58095,42,3
117,20160,58094,42,6
118,20177,58093,42,6
119,20192,58081,43,8
120,20212,58075,41,9
121,20223,58091,44,10
122,20226,58093,43,10
123,20233,58081,43,9
124,20221,58068,43,9
125,20223,58080,42,8
126,20229,58077,44,10
127,20227,58079,42,10
128,20227,58084,42,11
129,20217,58066,43,10
130,20205,58073,44,13
131,20204,58075,42,11
132,20200,58077,42,13
133,20203,58064,42,11
134,20187,58063,44,11
135,20182,58058,43,10
136,20176,58064,43,8
137,20165,58052,43,8
138,20157,58070,42,8
139,20152,58067,43,10
140,20141,58061,43,11
141,20139,58038,43,12
142,20121,58073,44,12
143,20143,58059,42,12
144,20135,58045,43,12
145,20134,58055,42,12
146,20141,58049,43,13
147,20130,58055,43,12
148,20136,58059,43,12
149,20128,58043,43,12
150,20118,58047,43,11
151,20121,58046,43,10
152,20113,58064,44,11
153,20126,58034,43,11
154,20113,58049,43,13
155,20121,58045,43,13
156,20127,58046,43,12
157,20122,58036,44,14
158,20127,58035,42,12
159,20135,58038,43,13
160,20135,58036,41,12
161,20147,58033,43,12
162,20145,58027,42,13
163,20153,58027,43,11
