PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 3
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 6
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 575725 at 12-41-58.567 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,24776,24973,42,0
1,24804,24971,43,0
2,24812,24960,42,0
3,24814,24966,43,0
4,24813,24965,44,0
5,24817,24972,43,0
6,24819,25002,43,0
7,24820,25015,44,0
8,24816,25037,44,0
9,24819,25052,43,0
10,24814,25066,42,0
11,24809,25087,44,0
12,24809,25094,42,0
13,24798,25117,45,0
14,24796,25105,43,0
15,24785,25092,43,0
16,24780,25094,43,0
17,24778,25080,44,0
18,24769,25083,45,0
19,24770,25061,43,0
20,24762,25030,43,0
21,24762,25021,44,0
22,24769,25001,45,0
23,24762,25010,41,0
24,24763,25007,44,0
25,24758,24995,43,0
26,24761,24991,43,0
27,24771,24980,45,0
28,24772,24968,42,0
29,24769,24960,43,0
30,24768,24958,43,0
31,24771,24970,42,0
32,24777,24970,42,0
33,24775,24981,45,0
34,24775,24995,44,0
35,24781,24994,43,0
36,24781,25006,45,0
37,24783,25012,43,0
38,24784,25012,43,0
39,24784,25009,44,0
40,24785,25007,43,0
41,24786,25012,43,0
42,24782,25020,44,0
43,24779,25031,43,0
44,24783,25035,43,0
45,24782,25030,42,0
46,24786,25017,43,0
47,24781,25017,41,0
48,24792,25006,44,0
49,24787,25021,43,0
50,24793,25025,44,0
51,24791,25031,43,0
52,24788,25056,43,0
53,24795,25045,42,0
54,24793,25044,44,0
55,24797,25041,42,0
56,24797,25032,46,0
57,24797,25035,42,0
58,24798,25033,44,0
59,24799,25060,43,0
60,24807,25051,43,0
61,24802,25054,45,0
62,24807,25056,42,0
63,24808,25047,43,0
64,24806,25066,43,0
65,24819,25065,43,0
66,24816,25082,43,0
67,24823,25085,43,0
68,24817,25095,46,0
69,24822,25110,44,0
70,24818,25133,44,0
71,24818,25145,43,0
72,24814,25170,43,0
73,24818,25179,44,0
74,24813,25197,43,0
75,24807,25218,43,0
76,24799,25241,43,0
77,24795,25245,41,0
78,24789,25226,43,0
79,24779,25229,43,0
80,24781,25220,45,0
81,24777,25198,46,0
82,24769,25203,43,0
83,24774,25185,43,0
84,24766,25193,43,0
85,24774,25193,43,0
86,24764,25196,44,0
87,24770,25192,43,0
