VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,19191,27068,45,18
1,19186,27078,47,15
2,19190,27075,47,15
3,19188,27080,46,15
4,19194,27070,44,13
5,19188,27063,46,15
6,19185,27063,46,16
7,19188,27054,47,15
8,19181,27056,46,15
9,19185,27045,45,16
10,19180,27052,45,17
11,19186,27053,45,14
12,19186,27043,47,15
13,19178,27052,46,15
14,19184,27046,45,15
15,19180,27049,47,16
16,19184,27062,46,14
17,19189,27050,46,15
18,19182,27051,45,15
19,19179,27054,46,16
20,19179,27043,47,15
21,19171,27062,45,15
22,19181,27058,46,16
23,19175,27056,45,15
24,19174,27062,46,13
25,19177,27060,45,15
26,19175,27073,46,16
27,19182,27067,46,17
28,19179,27066,46,16
29,19178,27065,47,17
30,19175,27069,46,14
31,19181,27063,47,17
32,19176,27065,45,14
33,19178,27062,47,14
34,19175,27061,47,16
35,19175,27063,45,16
36,19176,27059,47,15
37,19175,27064,47,14
38,19179,27057,46,16
39,19173,27062,45,15
40,19175,27062,46,14
41,19177,27060,48,16
42,19175,27053,46,16
43,19173,27059,47,15
44,19178,27060,45,15
45,19178,27058,47,15
46,19176,27063,48,14
47,19181,27060,45,15
48,19177,27061,44,16
49,19178,27059,46,15
50,19179,27065,46,16
51,19181,27066,46,14
52,19184,27063,47,16
53,19182,27055,45,16
54,19176,27067,47,17
55,19183,27057,45,15
56,19179,27062,45,16
57,19182,27058,47,16
58,19180,27052,45,15
59,19176,27052,46,16
60,19174,27059,45,16
61,19179,27055,46,17
62,19175,27055,44,15
63,19173,27050,45,16
64,19171,27061,44,14
65,19177,27048,46,16
66,19169,27063,45,15
67,19177,27060,45,14
68,19174,27055,46,17
69,19170,27070,46,14
70,19178,27063,46,15
71,19174,27069,46,16
72,19176,27074,45,14
73,19178,27065,47,16
74,19172,27064,45,15
75,19171,27070,45,15
76,19176,27070,45,14
77,19174,27077,44,16
78,19177,27075,45,14
79,19175,27080,45,16
80,19175,27075,47,15
81,19176,27076,44,14
82,19175,27089,45,15
83,19184,27080,45,14
84,19181,27082,47,16
85,19180,27077,45,17
86,19179,27074,47,15
87,19178,27066,45,15
88,19175,27059,48,15
89,19174,27061,45,16
90,19177,27051,46,15
91,19169,27054,46,14
