VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,26972,20539,36,23
1,27318,20418,37,21
2,27315,20425,35,21
3,27330,20417,35,20
4,27320,20424,36,21
5,27333,20414,35,21
6,27321,20420,35,20
7,27334,20424,36,21
8,27346,20420,35,20
9,27342,20416,35,20
10,27338,20412,35,20
11,27333,20413,35,20
12,27342,20411,34,22
13,27352,20412,35,23
14,27353,20410,35,21
15,27355,20411,35,21
16,27362,20414,34,20
17,27376,20411,34,20
18,27378,20411,37,19
19,27379,20406,36,21
20,27367,20412,33,21
21,27369,20407,35,20
22,27359,20414,35,20
23,27361,20410,34,19
24,27347,20410,35,20
25,27337,20411,35,22
26,27341,20409,36,21
27,27320,20409,34,20
28,27303,20405,35,19
29,27292,20401,35,20
30,27282,20408,35,20
31,27292,20406,35,19
32,27291,20408,36,22
33,27295,20410,36,21
34,27294,20414,35,20
35,27302,20411,35,21
36,27295,20410,37,21
37,27292,20412,36,21
38,27295,20409,36,20
39,27286,20413,34,23
40,27290,20413,35,19
41,27296,20412,35,21
42,27297,20415,34,21
43,27304,20414,36,20
44,27307,20411,35,20
45,27309,20412,34,21
46,27316,20416,36,19
47,27324,20413,35,20
48,27322,20416,35,20
49,27327,20414,35,20
50,27327,20413,35,21
51,27329,20412,35,20
52,27328,20415,33,22
53,27333,20416,37,20
54,27329,20413,35,20
55,27332,20411,36,21
56,27326,20416,35,22
57,27328,20415,35,22
58,27329,20417,36,20
59,27338,20411,35,21
60,27330,20413,35,20
61,27333,20416,35,20
62,27334,20413,34,21
63,27333,20416,36,21
64,27341,20417,34,20
65,27339,20411,35,21
66,27333,20412,36,18
67,27336,20414,35,20
68,27342,20417,33,22
69,27350,20415,34,20
70,27352,20412,34,22
71,27348,20421,35,20
72,27361,20418,35,21
73,27358,20411,33,21
74,27356,20413,35,19
75,27361,20415,34,20
76,27365,20413,35,19
77,27365,20416,34,21
78,27373,20416,36,21
79,27381,20418,35,20
80,27385,20412,37,21
81,27380,20415,32,20
82,27384,20414,35,19
83,27391,20421,35,22
84,27399,20414,35,19
85,27395,20420,35,20
86,27400,20417,34,21
87,27396,20416,36,21
88,27395,20414,36,20
89,27391,20413,34,21
90,27383,20415,34,20
91,27385,20416,33,21
