VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,11024,6871,32,20
1,12422,6910,32,19
2,12376,6908,33,20
3,12391,6913,33,19
4,12419,6918,33,18
5,12418,6914,34,18
6,12398,6913,35,20
7,12390,6910,34,18
8,12407,6914,33,18
9,12419,6918,34,19
10,12407,6916,33,19
11,12402,6920,34,21
12,12420,6919,33,18
13,12436,6918,32,20
14,12455,6919,33,19
15,12446,6919,33,19
16,12430,6921,34,20
17,12452,6923,33,19
18,12480,6924,33,20
19,12483,6922,32,21
20,12468,6924,33,21
21,12458,6928,33,19
22,12492,6928,35,20
23,12517,6929,33,17
24,12507,6929,33,19
25,12496,6924,33,20
26,12494,6930,32,21
27,12523,6932,31,17
28,12528,6929,32,19
29,12519,6933,32,18
30,12517,6933,33,19
31,12530,6933,32,19
32,12556,6933,33,20
33,12556,6930,32,19
34,12527,6935,32,18
35,12513,6932,34,19
36,12505,6931,34,20
37,12506,6929,34,19
38,12474,6925,33,19
39,12432,6922,32,18
40,12405,6917,33,20
41,12392,6916,33,20
42,12388,6915,33,20
43,12357,6912,33,19
44,12328,6909,32,19
45,12330,6911,32,18
46,12358,6907,34,19
47,12338,6907,32,20
48,12329,6902,33,19
49,12332,6905,33,19
50,12351,6908,32,18
51,12374,6909,33,19
52,12374,6907,32,19
53,12358,6908,34,21
54,12354,6909,31,18
55,12387,6911,32,19
56,12412,6910,33,19
57,12401,6910,32,19
58,12388,6909,33,19
59,12393,6916,34,20
60,12428,6916,32,19
61,12440,6915,33,19
62,12417,6916,32,19
63,12394,6917,33,18
64,12407,6921,34,18
65,12429,6919,31,19
66,12401,6914,32,18
67,12380,6918,32,19
68,12389,6916,32,18
69,12392,6918,33,18
70,12411,6918,33,18
71,12395,6917,31,20
72,12384,6917,32,19
73,12381,6918,34,20
74,12398,6919,34,18
75,12418,6920,33,19
76,12401,6920,33,18
77,12382,6919,34,19
78,12397,6922,31,18
79,12428,6920,33,20
80,12437,6924,33,19
81,12423,6921,33,19
82,12413,6926,33,20
83,12440,6928,33,19
84,12468,6926,33,17
85,12439,6926,33,19
86,12442,6928,32,20
87,12466,6928,34,20
88,12478,6932,32,19
89,12499,6931,33,20
90,12490,6930,32,19
91,12475,6935,33,19
92,12488,6940,32,19
93,12519,6941,33,20
94,12527,6942,33,20
95,12511,6942,33,18
96,12505,6942,34,19
97,12526,6945,32,18
98,12558,6947,33,19
99,12551,6945,33,21
100,12528,6947,33,19
101,12535,6949,34,19
102,12557,6950,32,20
103,12565,6947,32,21
104,12509,6944,32,20
105,12480,6943,34,19
106,12475,6940,33,19
107,12455,6939,32,19
