VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,11107,7336,35,18
1,11094,7336,36,18
2,11121,7335,36,20
3,11130,7337,35,19
4,11106,7334,34,19
5,11093,7337,34,19
6,11116,7341,34,18
7,11145,7339,36,20
8,11121,7341,34,20
9,11115,7343,35,19
10,11128,7344,34,19
11,11154,7350,36,19
12,11181,7350,35,19
13,11167,7354,35,19
14,11142,7353,35,20
15,11150,7357,35,21
16,11189,7360,36,19
17,11205,7360,35,20
18,11185,7362,35,18
19,11167,7361,35,19
20,11186,7367,35,20
21,11220,7367,35,19
22,11221,7367,35,21
23,11205,7371,34,18
24,11204,7375,36,18
25,11224,7375,36,20
26,11251,7377,34,20
27,11225,7378,35,20
28,11224,7377,35,19
29,11243,7380,34,19
30,11269,7384,36,19
31,11287,7385,35,19
32,11277,7384,35,19
33,11255,7387,35,20
34,11265,7390,36,18
35,11293,7391,36,19
36,11303,7393,33,19
37,11286,7392,35,18
38,11269,7393,35,19
39,11287,7396,34,20
40,11309,7396,35,19
41,11296,7395,35,18
42,11262,7391,35,19
43,11235,7390,36,19
44,11250,7391,35,19
45,11247,7381,36,19
46,11190,7382,36,19
47,11180,7378,36,19
48,11184,7376,35,20
49,11206,7376,35,20
50,11196,7371,35,20
51,11166,7374,34,18
52,11154,7373,34,20
53,11172,7375,36,18
54,11200,7374,37,18
55,11198,7374,35,21
56,11173,7374,37,19
57,11181,7376,36,20
58,11204,7377,35,18
59,11225,7376,35,19
60,11209,7374,35,20
61,11182,7380,36,21
62,11198,7381,34,20
63,11233,7383,35,20
64,11249,7381,35,19
65,11210,7385,34,20
66,11225,7387,35,20
67,11245,7387,35,19
68,11258,7392,35,17
69,11262,7388,35,18
70,11232,7389,36,19
71,11223,7387,36,20
72,11244,7391,36,20
73,11264,7394,34,20
74,11251,7390,34,20
75,11220,7392,34,16
76,11218,7395,35,18
77,11249,7395,35,19
78,11269,7393,36,18
79,11240,7394,34,20
80,11224,7394,33,18
81,11242,7399,37,19
82,11279,7402,35,18
83,11281,7401,36,20
84,11246,7400,33,19
85,11255,7405,34,20
86,11285,7406,35,18
87,11300,7405,35,18
88,11291,7404,36,19
89,11263,7408,35,19
90,11272,7409,34,20
91,11307,7416,35,20
92,11327,7417,34,20
93,11311,7414,35,18
94,11296,7416,35,19
95,11311,7419,35,19
96,11335,7423,34,20
97,11345,7426,36,19
98,11331,7426,35,19
99,11314,7427,34,19
100,11334,7428,35,20
101,11363,7428,36,20
102,11358,7430,36,20
103,11338,7432,35,20
104,11356,7434,35,20
105,11381,7435,37,20
106,11391,7437,34,19
107,11376,7436,37,19
108,11354,7435,34,18
109,11363,7441,35,19
110,11398,7439,35,19
111,11409,7442,36,20
112,11382,7445,34,19
113,11372,7445,35,19
114,11389,7446,35,19
115,11407,7443,35,19
116,11398,7442,35,20
117,11350,7441,34,20
118,11334,7436,35,20
119,11343,7436,35,20
120,11350,7436,34,19
121,11318,7427,34,19
122,11277,7428,37,19
123,11291,7425,35,19
124,11298,7424,35,19
125,11290,7425,36,19
126,11272,7421,35,21
127,11251,7422,34,19
128,11268,7425,35,19
129,11290,7427,35,20
130,11295,7428,36,18
131,11272,7425,35,20
132,11260,7425,35,18
133,11290,7430,35,19
134,11310,7431,34,20
135,11308,7433,35,19
136,11284,7432,35,18
137,11292,7434,35,20
138,11318,7435,35,21
139,11340,7435,36,19
140,11315,7437,36,20
141,11318,7438,35,19
142,11332,7438,35,20
143,11346,7441,35,19
144,11339,7439,36,19
145,11313,7437,36,20
146,11304,7441,35,20
147,11324,7443,36,19
148,11339,7444,35,18
149,11333,7440,35,19
150,11304,7442,35,19
151,11305,7441,35,18
152,11328,7446,34,19
153,11348,7443,35,19
154,11325,7446,36,20
155,11305,7447,35,20
156,11324,7451,36,18
157,11354,7451,33,21
158,11362,7451,36,19
159,11342,7451,34,19
160,11349,7457,35,20
161,11377,7454,36,18
162,11392,7457,35,20
163,11377,7459,35,21
164,11362,7458,33,19
165,11363,7460,37,21
166,11391,7465,36,20
167,11418,7465,35,19
168,11405,7467,36,21
169,11378,7464,35,19
170,11390,7471,35,19
171,11421,7472,34,20
172,11430,7472,35,19
173,11412,7472,35,20
174,11395,7473,36,20
175,11410,7477,34,20
176,11444,7480,35,21
177,11446,7479,34,21
178,11421,7478,36,20
179,11445,7483,34,20
180,11468,7482,35,17
181,11470,7485,33,19
182,11461,7484,35,19
183,11438,7485,34,18
184,11445,7490,36,19
185,11479,7489,35,20
186,11496,7490,34,18
187,11472,7494,35,19
188,11466,7493,35,20
189,11479,7494,36,19
190,11504,7496,35,19
191,11497,7493,36,20
192,11461,7491,35,19
193,11436,7489,34,20
194,11446,7490,34,18
195,11450,7488,36,21
196,11417,7484,35,19
197,11362,7479,35,19
198,11374,7479,36,19
199,11376,7475,34,19
200,11364,7472,33,20
201,11329,7470,35,18
202,11304,7469,35,20
203,11316,7471,35,20
204,11342,7470,36,19
205,11346,7467,37,19
206,11316,7469,35,20
207,11310,7470,35,20
208,11328,7470,34,19
209,11346,7471,35,20
210,11342,7468,34,18
211,11316,7471,34,20
212,11315,7472,35,18
213,11338,7473,34,19
214,11365,7473,36,19
215,11340,7470,35,20
216,11328,7475,35,18
217,11370,7476,35,19
218,11380,7475,35,21
219,11362,7478,34,19
220,11348,7473,34,20
221,11334,7477,34,19
222,11353,7478,36,20
223,11375,7476,35,17
224,11372,7477,35,19
225,11341,7477,35,20
226,11339,7477,36,19
227,11361,7479,36,18
228,11382,7477,35,21
229,11365,7477,35,19
230,11335,7478,37,21
231,11349,7480,35,21
232,11378,7481,34,19
233,11389,7480,35,20
234,11358,7480,36,21
235,11346,7486,35,19
236,11391,7482,35,19
237,11390,7487,35,18
238,11381,7487,36,21
239,11377,7488,35,19
240,11368,7490,34,20
241,11401,7493,35,19
242,11425,7491,35,20
243,11409,7492,35,20
244,11390,7494,34,18
245,11405,7496,36,19
246,11433,7498,35,19
247,11441,7499,37,19
248,11424,7499,33,19
249,11410,7502,34,20
250,11424,7503,35,21
251,11456,7502,34,19
252,11452,7502,36,19
253,11431,7501,35,19
254,11424,7503,35,19
255,11470,7507,36,20
256,11472,7504,34,20
257,11452,7509,35,21
258,11443,7511,34,19
259,11443,7511,36,19
260,11478,7515,36,19
261,11495,7514,36,19
262,11474,7515,34,20
263,11454,7514,34,19
264,11472,7519,36,21
265,11506,7518,34,20
266,11508,7519,34,20
267,11483,7518,35,17
268,11467,7521,34,20
269,11482,7524,34,19
270,11500,7519,35,18
271,11464,7514,35,20
272,11423,7510,34,19
273,11402,7507,33,19
274,11411,7506,36,19
275,11380,7501,35,20
276,11342,7498,35,19
277,11319,7494,35,19
278,11308,7494,35,18
279,11323,7492,35,20
280,11322,7490,34,19
281,11286,7484,35,18
282,11265,7484,35,19
283,11285,7486,35,20
284,11306,7483,35,19
285,11296,7484,35,19
286,11267,7483,36,19
287,11267,7486,36,19
288,11286,7488,33,18
289,11305,7485,34,19
290,11284,7486,34,20
291,11260,7483,35,20
292,11270,7489,33,20
293,11307,7490,35,19
294,11289,7484,35,20
295,11269,7489,36,19
296,11265,7490,34,18
297,11282,7491,36,19
298,11308,7492,35,19
299,11306,7489,34,20
300,11276,7489,34,20
301,11274,7491,36,20
302,11290,7490,36,19
303,11305,7493,34,20
304,11287,7487,37,20
305,11254,7490,35,20
306,11261,7491,35,18
307,11286,7491,35,19
308,11297,7494,35,21
309,11272,7489,34,19
310,11252,7489,34,19
311,11268,7492,34,19
312,11295,7490,36,20
313,11270,7492,34,19
314,11263,7490,36,20
315,11262,7495,34,21
316,11290,7497,35,19
317,11313,7499,35,20
318,11303,7496,35,18
319,11281,7495,35,18
320,11289,7500,35,19
321,11314,7501,35,20
322,11331,7499,37,19
323,11313,7501,33,20
324,11298,7500,36,19
325,11313,7501,36,18
326,11340,7503,35,19
327,11346,7502,34,19
328,11323,7507,35,20
329,11316,7507,35,20
330,11339,7507,34,19
331,11351,7508,35,18
332,11335,7508,36,19
333,11328,7511,33,19
334,11338,7511,34,19
335,11355,7518,35,18
336,11382,7517,34,19
337,11366,7515,35,20
338,11341,7519,36,19
339,11353,7520,37,17
340,11387,7520,35,19
341,11398,7523,34,19
342,11375,7520,35,19
343,11362,7523,35,20
344,11386,7524,35,20
345,11411,7525,36,20
346,11411,7527,35,20
347,11384,7524,36,19
348,11380,7527,36,19
349,11406,7525,35,19
350,11397,7525,34,19
351,11374,7524,34,19
352,11361,7523,34,20
353,11351,7522,34,17
354,11358,7521,34,19
355,11344,7513,33,20
356,11287,7509,35,19
357,11245,7505,35,19
358,11237,7500,36,19
359,11241,7497,34,19
360,11217,7491,36,20
361,11174,7490,37,19
362,11171,7489,35,19
363,11180,7490,34,19
364,11197,7492,35,18
365,11183,7486,37,19
366,11156,7483,35,18
367,11158,7484,33,18
368,11181,7482,35,18
369,11165,7482,35,20
370,11146,7480,34,20
371,11147,7484,36,19
372,11167,7480,35,20
373,11182,7482,34,18
374,11178,7478,34,19
375,11150,7477,34,20
376,11147,7481,35,21
377,11178,7481,35,20
378,11193,7480,36,18
379,11180,7482,35,20
380,11157,7481,34,17
381,11149,7483,35,19
382,11178,7483,35,19
383,11186,7480,34,18
384,11155,7481,36,19
385,11134,7480,37,19
386,11138,7480,35,19
387,11167,7479,36,19
388,11139,7478,33,19
389,11115,7477,35,19
390,11121,7476,36,17
391,11135,7480,35,21
392,11154,7480,33,19
393,11144,7477,36,21
394,11118,7478,35,19
395,11122,7480,34,19
396,11145,7483,35,19
397,11166,7480,34,18
398,11145,7481,35,19
399,11125,7484,35,20
400,11139,7484,34,20
401,11164,7483,35,19
402,11171,7482,34,18
403,11148,7482,36,19
404,11136,7486,33,19
405,11160,7490,34,19
406,11184,7488,37,21
407,11150,7489,34,20
408,11149,7488,35,17
409,11162,7492,35,20
410,11183,7494,35,18
411,11205,7493,36,20
412,11190,7493,36,19
413,11169,7496,35,19
414,11185,7498,35,18
415,11216,7498,36,19
416,11220,7500,34,20
417,11200,7499,34,20
418,11182,7496,34,19
419,11197,7504,35,18
420,11231,7503,35,20
421,11231,7501,34,20
422,11207,7505,36,20
423,11202,7504,36,18
424,11223,7505,35,19
425,11228,7504,34,20
426,11219,7505,35,18
427,11219,7507,36,20
428,11231,7509,36,18
429,11256,7513,35,20
430,11271,7510,34,18
431,11245,7508,36,20
432,11231,7512,35,18
433,11249,7513,34,19
434,11276,7509,34,18
435,11269,7509,35,18
436,11237,7507,36,20
437,11216,7506,34,19
438,11215,7506,36,20
439,11218,7498,35,18
440,11180,7495,34,20
441,11135,7492,36,21
442,11112,7490,35,19
443,11123,7490,36,18
444,11122,7481,35,18
445,11068,7475,33,20
446,11060,7475,34,18
447,11069,7475,35,19
448,11085,7474,35,18
449,11083,7471,36,21
450,11054,7474,34,19
451,11054,7472,34,19
452,11069,7471,35,19
453,11089,7474,36,19
454,11079,7467,36,18
455,11051,7466,35,19
456,11053,7469,36,18
457,11079,7473,36,19
458,11099,7471,35,19
459,11085,7472,34,19
460,11068,7472,34,20
461,11074,7472,35,19
462,11094,7472,34,18
463,11077,7471,36,20
464,11066,7472,36,17
465,11073,7471,35,20
466,11097,7473,36,20
467,11096,7473,35,19
468,11091,7472,35,20
469,11060,7469,36,19
470,11057,7472,35,18
471,11083,7472,34,18
472,11099,7467,35,19
473,11074,7469,34,19
474,11058,7464,36,19
475,11060,7467,34,18
476,11092,7468,34,20
477,11098,7465,34,19
478,11072,7465,36,18
479,11061,7466,36,19
480,11078,7467,35,19
481,11107,7467,36,19
482,11072,7467,35,17
483,11075,7469,36,19
484,11085,7472,36,18
485,11114,7473,35,19
486,11133,7476,35,21
487,11129,7473,35,20
488,11101,7475,34,19
489,11102,7473,34,19
490,11133,7473,35,18
491,11145,7476,35,20
492,11122,7475,34,20
493,11112,7474,34,19
494,11134,7478,35,20
495,11154,7479,35,19
496,11167,7481,35,20
497,11139,7480,33,19
498,11140,7483,35,19
499,11161,7483,34,20
500,11186,7481,37,19
501,11143,7484,36,19
502,11150,7482,35,18
503,11171,7486,34,19
504,11191,7486,33,19
505,11204,7485,34,19
506,11178,7489,35,19
507,11168,7486,36,19
508,11179,7488,35,20
509,11202,7490,35,20
510,11210,7488,33,21
511,11180,7488,35,19
512,11158,7485,33,20
513,11175,7488,34,19
514,11186,7485,34,17
515,11160,7479,35,19
516,11116,7479,34,19
517,11097,7472,35,19
518,11097,7474,36,19
519,11106,7466,35,19
520,11044,7464,34,18
521,11043,7463,35,19
522,11058,7465,34,18
523,11071,7461,36,20
524,11066,7461,37,20
525,11038,7459,35,19
526,11033,7457,35,19
527,11048,7459,35,20
528,11071,7460,34,20
529,11066,7458,36,20
530,11043,7455,36,17
531,11041,7458,34,19
532,11065,7462,34,20
533,11091,7460,35,18
534,11074,7460,34,18
535,11057,7460,36,19
536,11075,7466,35,20
537,11114,7464,35,18
538,11125,7462,35,19
539,11082,7464,35,19
540,11100,7464,35,18
541,11119,7466,37,19
542,11127,7466,36,18
543,11117,7464,37,19
544,11088,7465,35,17
545,11083,7464,36,20
546,11100,7463,35,20
547,11125,7464,35,19
548,11103,7463,36,18
549,11077,7462,34,18
550,11079,7459,36,20
551,11111,7462,33,18
552,11130,7461,34,18
553,11105,7462,35,20
554,11088,7464,34,19
555,11115,7463,37,20
556,11139,7467,35,19
557,11143,7467,35,19
558,11116,7465,33,19
559,11132,7469,35,18
560,11158,7470,35,21
561,11171,7468,35,19
562,11158,7469,35,20
563,11139,7469,34,20
564,11142,7472,35,19
565,11178,7476,35,20
566,11204,7473,35,19
567,11177,7477,35,20
568,11169,7479,36,19
569,11181,7479,36,20
570,11212,7482,35,19
571,11226,7481,35,19
572,11200,7481,33,18
573,11190,7480,36,19
574,11217,7484,35,19
575,11242,7488,35,18
576,11232,7484,34,19
577,11214,7485,35,20
578,11239,7488,36,19
579,11260,7493,34,19
580,11271,7490,36,18
581,11248,7488,35,19
582,11232,7490,34,19
583,11247,7493,35,18
584,11278,7493,36,18
585,11283,7493,35,19
586,11255,7490,35,20
587,11234,7487,35,19
588,11238,7486,34,18
589,11251,7484,35,20
590,11216,7481,34,19
591,11169,7476,35,19
592,11147,7474,35,19
593,11149,7469,37,21
594,11152,7462,35,19
595,11119,7462,36,18
596,11100,7458,35,19
597,11105,7457,34,20
598,11118,7459,33,18
599,11105,7456,35,19
600,11083,7452,35,21
601,11072,7451,34,19
602,11094,7453,37,19
603,11120,7453,35,18
604,11122,7454,36,19
605,11088,7454,35,17
606,11091,7451,35,18
607,11120,7451,37,21
608,11145,7454,35,19
609,11128,7452,33,18
610,11102,7454,34,18
611,11117,7455,36,19
612,11148,7457,34,20
613,11166,7455,34,19
614,11144,7454,35,18
615,11147,7452,35,18
616,11160,7455,35,19
617,11170,7455,35,20
618,11158,7451,35,19
619,11132,7450,35,18
620,11123,7452,35,19
621,11145,7453,35,20
622,11172,7451,33,20
623,11155,7452,33,18
624,11128,7450,35,19
625,11131,7452,34,19
626,11162,7452,34,20
627,11178,7451,35,19
628,11144,7448,34,19
629,11135,7449,36,19
630,11158,7451,35,18
631,11187,7452,36,19
632,11197,7451,35,19
633,11172,7455,36,19
634,11195,7456,35,18
635,11211,7456,35,21
636,11221,7459,35,19
637,11209,7459,35,20
638,11194,7460,35,19
639,11207,7456,34,19
640,11229,7461,36,19
641,11246,7464,34,20
642,11230,7461,34,20
643,11219,7462,37,19
644,11231,7463,37,19
645,11263,7466,37,18
646,11272,7466,35,18
647,11248,7466,34,18
648,11243,7469,35,19
649,11271,7470,34,20
650,11295,7471,35,20
651,11283,7471,35,22
652,11264,7470,34,20
653,11296,7474,34,19
654,11320,7475,35,18
655,11319,7474,34,19
656,11300,7478,35,21
657,11286,7478,34,18
658,11301,7480,34,18
659,11336,7482,35,18
660,11343,7479,36,18
661,11311,7479,35,20
662,11301,7477,34,19
663,11315,7477,35,19
664,11328,7474,36,19
665,11307,7467,35,19
666,11257,7465,36,19
667,11229,7465,35,21
668,11234,7461,33,18
669,11236,7456,36,17
670,11193,7450,35,19
671,11153,7449,36,20
672,11179,7446,35,18
673,11177,7445,33,20
674,11161,7442,35,20
675,11139,7435,35,21
676,11119,7434,35,20
677,11146,7433,36,19
678,11172,7435,34,19
679,11167,7434,36,19
680,11140,7434,37,20
681,11137,7434,36,18
682,11160,7433,36,20
683,11183,7435,36,18
684,11164,7433,36,20
685,11142,7431,35,19
686,11154,7433,35,19
687,11174,7433,34,19
688,11196,7432,34,20
689,11176,7435,35,19
690,11156,7432,36,21
