VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,10948,7309,35,20
1,11794,6758,34,17
2,11783,6757,36,19
3,11767,6758,35,18
4,11774,6758,37,19
5,11791,6759,36,19
6,11784,6752,36,20
7,11719,6749,35,20
8,11709,6744,36,18
9,11705,6743,35,20
10,11702,6739,35,19
11,11678,6735,36,19
12,11637,6732,37,19
13,11626,6731,35,19
14,11642,6731,36,18
15,11661,6730,36,19
16,11636,6729,35,19
17,11614,6725,36,18
18,11621,6728,35,19
19,11649,6727,36,19
20,11662,6727,35,18
21,11640,6727,35,18
22,11633,6725,35,18
23,11654,6729,36,19
24,11685,6726,34,17
25,11678,6726,37,17
26,11659,6728,34,20
27,11684,6732,37,20
28,11708,6732,34,19
29,11721,6730,36,18
30,11702,6729,35,18
31,11688,6728,36,19
32,11695,6730,36,19
33,11724,6731,35,19
34,11742,6730,36,19
35,11716,6728,37,20
36,11694,6727,35,19
37,11703,6732,34,20
38,11732,6729,35,19
39,11717,6728,36,19
40,11702,6731,36,18
41,11692,6727,35,19
42,11719,6724,36,18
43,11733,6725,37,19
44,11718,6721,36,19
45,11704,6725,34,20
46,11723,6729,35,20
47,11745,6729,36,19
48,11746,6727,34,20
49,11731,6730,37,20
50,11717,6730,35,21
51,11734,6731,37,20
52,11766,6734,35,19
53,11774,6733,36,18
54,11755,6735,36,19
55,11747,6739,35,20
56,11776,6738,34,18
57,11797,6740,35,18
58,11792,6737,35,19
59,11771,6740,36,17
60,11782,6742,35,17
61,11807,6745,34,19
62,11841,6745,35,18
63,11802,6744,35,19
64,11814,6748,36,18
65,11837,6750,36,19
66,11856,6750,36,21
67,11858,6755,33,19
68,11847,6753,37,19
69,11841,6757,37,21
70,11851,6760,35,19
71,11886,6759,36,20
72,11885,6759,36,19
73,11864,6759,35,20
74,11866,6765,35,19
75,11890,6766,36,20
76,11908,6765,36,19
77,11893,6767,36,19
78,11878,6764,36,19
79,11870,6765,35,18
80,11887,6765,38,19
81,11873,6759,36,20
82,11809,6754,37,19
83,11800,6753,35,20
84,11796,6749,37,19
85,11789,6745,36,19
86,11762,6736,34,19
87,11724,6730,36,18
88,11709,6729,36,19
89,11727,6728,36,19
90,11738,6724,36,19
91,11724,6720,37,20
92,11695,6720,37,20
93,11702,6720,34,19
94,11727,6719,36,20
95,11740,6720,36,18
96,11717,6716,37,19
97,11700,6717,36,19
98,11719,6718,36,19
99,11739,6719,37,19
100,11743,6719,36,20
101,11724,6714,36,19
102,11725,6716,36,18
103,11756,6718,36,19
104,11767,6718,37,20
105,11759,6717,36,19
106,11738,6715,36,19
107,11741,6718,36,20
108,11769,6722,37,20
109,11781,6720,36,20
110,11760,6720,37,19
111,11746,6719,35,20
112,11754,6718,36,19
113,11776,6719,37,19
114,11773,6717,37,20
115,11746,6718,36,19
116,11738,6717,39,20
117,11763,6719,37,20
118,11784,6717,37,19
119,11772,6711,37,20
120,11753,6714,36,21
121,11769,6719,36,21
122,11778,6719,38,20
123,11788,6722,36,20
124,11783,6718,35,20
125,11761,6723,37,19
126,11781,6721,38,20
127,11800,6723,36,19
128,11809,6724,38,19
129,11795,6720,37,21
130,11786,6729,37,20
131,11813,6726,37,18
132,11838,6727,36,21
133,11837,6729,36,20
134,11818,6726,36,19
135,11820,6728,38,19
136,11845,6733,38,20
137,11870,6730,36,20
138,11858,6736,36,19
139,11848,6736,36,21
140,11868,6738,39,20
141,11884,6737,36,19
142,11884,6733,36,20
143,11861,6738,36,20
144,11858,6738,37,20
145,11878,6742,36,19
146,11904,6743,38,21
147,11898,6742,36,20
148,11875,6747,37,19
149,11879,6745,36,19
150,11897,6748,35,19
151,11923,6750,38,19
152,11915,6745,34,20
153,11895,6751,36,19
154,11901,6753,36,20
155,11926,6753,37,21
156,11932,6756,36,19
157,11899,6748,36,20
158,11876,6750,37,19
159,11878,6748,37,19
160,11867,6740,36,21
161,11830,6736,37,20
162,11794,6725,36,18
163,11761,6730,36,19
164,11770,6721,36,20
165,11781,6719,38,20
166,11757,6716,36,21
167,11723,6707,36,20
168,11713,6711,36,19
169,11737,6708,37,19
170,11754,6706,37,19
171,11737,6708,36,20
172,11728,6704,38,20
173,11728,6705,37,21
174,11744,6704,36,20
175,11750,6700,36,19
176,11725,6701,37,20
177,11740,6699,35,20
178,11755,6703,37,22
179,11759,6702,37,20
180,11743,6699,35,19
181,11723,6700,37,19
182,11729,6700,38,19
183,11755,6702,36,20
184,11768,6701,35,17
185,11753,6695,38,20
186,11726,6702,35,18
