VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,28227,28026,47,17
1,28220,26742,48,15
2,28223,26741,47,16
3,28212,26739,49,15
4,28212,26742,48,16
5,28215,26738,47,17
6,28195,26745,46,16
7,28210,26754,47,17
8,28205,26760,48,15
9,28210,26759,47,17
10,28212,26755,49,16
11,28199,26771,45,17
12,28216,26783,47,19
13,28223,26772,48,16
14,28213,26778,48,16
15,28223,26770,50,16
16,28207,26768,47,18
17,28217,26763,47,16
18,28217,26768,48,16
19,28216,26760,48,16
20,28225,26747,48,17
21,28213,26733,48,16
22,28213,26724,48,18
23,28216,26702,47,15
24,28199,26692,49,17
25,28210,26678,46,17
26,28198,26662,48,17
27,28200,26660,46,17
28,28207,26654,48,15
29,28195,26649,47,17
30,28200,26652,49,17
31,28195,26658,49,15
32,28201,26666,47,17
33,28207,26661,49,17
34,28191,26673,47,16
35,28204,26676,48,16
36,28199,26678,47,15
37,28194,26688,48,17
38,28208,26690,48,16
39,28199,26698,48,16
40,28210,26693,48,17
41,28196,26691,47,18
42,28195,26704,48,15
43,28214,26699,47,16
44,28202,26698,48,17
45,28206,26702,47,17
46,28205,26696,48,17
47,28202,26703,49,17
48,28220,26694,47,16
49,28207,26686,48,16
50,28213,26684,49,17
51,28211,26675,48,15
52,28206,26684,46,16
53,28229,26679,47,18
54,28221,26665,48,17
55,28216,26669,48,16
56,28229,26665,49,16
57,28216,26663,48,16
58,28223,26668,46,17
59,28215,26668,47,16
60,28220,26677,47,17
61,28221,26677,48,18
62,28212,26681,45,16
63,28223,26687,48,16
64,28219,26691,47,16
65,28220,26692,46,15
66,28222,26699,47,17
67,28214,26703,47,15
68,28230,26712,48,17
69,28229,26703,46,17
70,28228,26717,46,16
71,28246,26706,48,16
72,28229,26706,47,17
73,28236,26714,47,16
74,28245,26709,46,17
75,28237,26719,47,17
76,28256,26714,47,16
77,28245,26719,48,17
78,28253,26723,47,18
79,28251,26720,47,15
80,28244,26726,47,16
81,28254,26729,48,16
82,28242,26733,47,17
83,28252,26746,48,17
84,28257,26746,47,16
85,28246,26756,48,16
86,28261,26763,48,17
87,28254,26763,47,16
88,28260,26771,47,18
89,28264,26763,46,15
90,28251,26780,47,17
91,28275,26773,47,17
92,28256,26775,47,16
93,28260,26779,46,15
94,28273,26780,47,15
95,28268,26775,47,16
96,28273,26770,48,16
97,28268,26755,49,17
98,28261,26746,47,16
99,28264,26736,48,17
100,28255,26712,47,16
101,28243,26714,48,17
102,28242,26702,48,17
103,28236,26702,49,16
104,28240,26700,47,16
105,28229,26703,48,17
106,28237,26705,48,16
107,28229,26702,47,15
108,28225,26718,46,16
109,28240,26716,47,16
110,28222,26725,49,16
111,28238,26726,49,15
112,28235,26724,49,15
113,28223,26729,46,16
114,28236,26728,48,16
115,28224,26733,47,17
116,28230,26740,48,16
117,28234,26729,48,17
118,28217,26738,47,16
119,28232,26734,48,16
120,28223,26728,47,17
121,28222,26737,48,16
122,28231,26722,46,15
123,28210,26729,48,17
124,28230,26724,47,17
125,28218,26723,47,16
126,28219,26729,48,17
127,28226,26727,48,17
128,28217,26723,48,16
129,28224,26724,47,18
130,28222,26721,48,17
131,28209,26721,49,15
132,28216,26725,49,17
133,28209,26723,46,14
134,28218,26736,48,17
135,28213,26729,48,16
136,28208,26736,47,16
137,28216,26737,48,17
138,28201,26746,47,17
139,28215,26747,47,15
140,28208,26747,50,16
141,28201,26764,48,18
142,28222,26759,47,17
143,28206,26761,47,15
144,28215,26768,47,15
145,28219,26761,48,17
146,28206,26766,45,17
147,28219,26765,47,17
148,28208,26771,47,16
149,28214,26783,48,16
150,28233,26771,48,18
151,28211,26777,47,17
152,28227,26775,48,18
153,28216,26770,45,17
154,28218,26780,46,17
155,28232,26768,47,17
156,28213,26781,48,16
157,28234,26780,49,15
158,28223,26771,47,15
159,28219,26788,47,16
160,28234,26776,48,17
161,28212,26782,46,16
162,28227,26785,49,18
163,28220,26785,48,16
164,28221,26796,47,16
165,28231,26796,48,16
166,28223,26789,48,16
167,28224,26799,49,16
168,28235,26787,48,16
169,28217,26797,48,16
170,28237,26799,47,17
171,28231,26803,47,16
172,28236,26803,48,16
173,28230,26801,50,16
174,28228,26805,48,16
175,28236,26805,47,16
176,28230,26787,47,15
177,28227,26790,48,17
178,28228,26769,48,17
179,28211,26768,49,16
180,28226,26750,46,15
181,28201,26739,48,16
182,28205,26737,48,16
183,28205,26726,48,16
184,28192,26723,46,17
185,28197,26721,48,16
186,28186,26719,50,15
187,28181,26723,49,17
188,28193,26720,48,16
189,28174,26731,48,16
190,28192,26734,47,16
191,28182,26731,47,16
192,28181,26745,47,17
193,28193,26744,47,17
194,28181,26753,48,17
195,28193,26745,47,17
196,28172,26752,48,16
197,28189,26757,47,15
198,28193,26753,48,17
199,28182,26750,47,17
200,28183,26755,49,16
201,28184,26746,46,16
202,28178,26750,48,14
203,28190,26746,47,15
204,28176,26750,48,15
205,28193,26748,47,17
206,28193,26736,48,15
207,28173,26736,47,15
208,28185,26726,49,16
209,28168,26723,48,16
210,28175,26729,47,16
211,28178,26723,47,15
212,28169,26726,48,17
213,28180,26720,48,16
214,28158,26721,47,15
215,28170,26732,48,16
216,28175,26729,49,16
217,28164,26730,48,17
218,28171,26734,47,15
219,28157,26731,47,16
220,28163,26749,47,17
221,28180,26747,47,15
222,28171,26749,47,16
223,28182,26740,48,16
224,28167,26739,48,15
225,28168,26747,47,17
226,28185,26737,48,17
227,28164,26736,49,18
228,28176,26735,47,17
229,28171,26726,47,16
230,28166,26734,46,16
231,28182,26718,48,14
232,28156,26724,47,16
233,28170,26724,48,16
234,28168,26726,47,15
235,28169,26724,47,16
236,28170,26716,49,17
237,28155,26721,47,17
238,28168,26723,47,17
239,28162,26720,48,17
240,28157,26725,48,16
241,28168,26731,48,15
242,28159,26737,49,16
243,28174,26739,48,15
244,28174,26733,47,16
245,28161,26740,47,16
246,28175,26744,48,17
247,28165,26756,48,18
248,28182,26752,48,16
249,28178,26751,47,18
250,28164,26764,47,15
251,28186,26765,47,15
252,28178,26754,46,18
253,28175,26754,46,15
254,28182,26738,48,16
255,28164,26727,47,17
256,28170,26709,48,17
257,28150,26699,47,16
258,28157,26695,48,16
259,28158,26682,48,16
260,28143,26681,49,17
261,28151,26683,48,17
