VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,27717,27895,47,15
1,27727,27736,47,17
2,27723,27734,49,16
3,27732,27733,49,16
4,27729,27732,47,16
5,27730,27731,47,16
6,27740,27722,48,15
7,27725,27719,48,15
8,27729,27716,49,16
9,27729,27708,48,16
10,27718,27715,47,16
11,27732,27713,47,16
12,27720,27712,47,16
13,27724,27718,48,17
14,27727,27716,48,16
15,27717,27725,48,17
16,27730,27722,47,17
17,27716,27725,46,17
18,27725,27728,47,15
19,27724,27722,47,16
20,27715,27732,48,16
21,27733,27731,48,15
22,27718,27733,47,17
23,27725,27746,46,16
24,27736,27734,47,16
25,27717,27749,46,16
26,27732,27757,48,17
27,27739,27751,46,16
28,27733,27754,49,15
29,27740,27759,47,18
30,27732,27766,48,16
31,27749,27768,49,16
32,27742,27757,48,16
33,27734,27766,47,16
34,27746,27766,47,15
35,27737,27775,47,17
36,27748,27777,48,18
37,27747,27777,48,16
38,27741,27785,49,17
39,27751,27785,48,16
40,27743,27789,49,16
41,27756,27786,48,16
42,27745,27795,50,16
43,27755,27796,48,16
44,27758,27809,48,16
45,27764,27798,47,17
46,27756,27804,49,15
47,27759,27807,47,17
48,27755,27808,49,17
49,27767,27802,49,16
50,27754,27785,47,17
51,27751,27774,47,16
52,27750,27752,46,15
53,27733,27737,46,17
54,27739,27730,47,15
55,27732,27718,46,14
56,27733,27713,46,16
57,27729,27699,49,17
58,27707,27699,49,17
59,27718,27704,47,16
60,27712,27698,47,17
61,27711,27717,47,16
62,27727,27708,47,16
63,27706,27715,49,16
64,27718,27721,48,17
65,27720,27711,48,15
66,27708,27729,48,17
67,27732,27713,48,16
68,27709,27720,49,16
69,27722,27732,48,17
70,27728,27718,48,16
71,27714,27728,48,17
72,27727,27726,48,16
73,27718,27721,48,16
74,27715,27728,47,16
75,27721,27720,47,17
76,27716,27725,48,17
77,27728,27726,48,16
78,27717,27714,48,16
79,27718,27720,47,17
80,27724,27711,47,16
81,27716,27712,47,18
82,27727,27709,47,18
83,27716,27703,48,16
84,27712,27713,48,16
85,27724,27700,48,16
86,27708,27712,48,18
87,27722,27708,48,17
88,27712,27702,48,16
89,27714,27706,49,15
90,27721,27704,49,17
91,27709,27702,49,16
92,27716,27707,49,17
93,27714,27702,46,16
94,27714,27715,49,15
95,27726,27711,49,16
96,27711,27716,46,17
97,27726,27719,47,17
98,27719,27719,48,17
99,27719,27727,49,16
100,27732,27725,47,15
101,27721,27722,48,17
102,27725,27736,48,16
103,27738,27721,49,17
104,27720,27727,48,17
105,27732,27725,48,17
106,27720,27722,47,15
107,27725,27736,48,15
108,27731,27736,48,16
109,27730,27739,49,16
110,27739,27747,47,15
111,27735,27740,49,14
112,27734,27760,48,16
113,27750,27744,47,17
114,27731,27756,48,17
115,27749,27758,48,16
116,27738,27762,47,17
117,27746,27761,47,17
118,27743,27754,48,15
119,27732,27763,50,17
120,27746,27764,48,16
121,27744,27764,47,15
122,27743,27776,49,16
123,27758,27761,48,16
124,27733,27774,48,16
125,27753,27774,48,17
126,27745,27774,48,16
127,27745,27777,49,15
128,27751,27768,47,16
129,27737,27762,49,16
130,27747,27743,48,17
131,27732,27722,48,16
132,27721,27713,48,15
133,27730,27703,46,16
134,27718,27688,47,17
135,27716,27681,48,17
136,27709,27676,48,17
137,27705,27679,48,16
