VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,30937,27422,41,21
1,30943,27408,39,22
2,30925,27412,41,24
3,30922,27407,41,23
4,30910,27405,44,22
5,30911,27398,44,24
6,30911,27399,44,24
7,30912,27396,44,24
8,30898,27393,44,22
9,30896,27400,45,24
10,30907,27394,44,23
11,30903,27394,45,21
12,30907,27395,45,24
13,30904,27384,44,24
14,30899,27382,44,24
15,30903,27382,44,22
16,30912,27386,46,22
17,30917,27387,44,22
18,30920,27378,43,23
19,30922,27383,44,23
20,30937,27387,44,24
21,30951,27386,46,24
22,30954,27387,44,23
23,30960,27375,44,24
24,30957,27389,44,22
25,30982,27386,44,23
26,30982,27378,43,24
27,30977,27386,43,22
28,30998,27392,46,22
29,31017,27398,44,23
30,31035,27401,45,26
31,31039,27406,46,22
32,31052,27412,44,23
33,31056,27401,44,24
34,31044,27410,45,23
35,31042,27416,45,23
36,31038,27410,44,22
37,31030,27411,43,23
38,31028,27419,41,23
39,31031,27406,39,22
40,31005,27420,39,23
41,30992,27423,38,22
42,30983,27426,39,22
43,31001,27431,38,22
44,31025,27446,38,21
45,31037,27446,38,21
46,31011,27440,38,21
47,30972,27434,37,21
48,30953,27429,38,23
49,30950,27437,38,22
50,30967,27431,37,21
51,30963,27424,37,22
52,30953,27424,36,21
53,30945,27419,37,22
54,30933,27419,37,21
55,30934,27425,38,23
56,30949,27415,36,21
57,30944,27414,37,21
58,30945,27414,37,22
59,30942,27411,37,24
60,30942,27410,36,22
61,30942,27408,36,21
62,30947,27410,35,23
63,30954,27418,37,22
64,30961,27416,36,23
65,30962,27409,37,22
66,30954,27410,37,23
67,30955,27418,38,21
68,30966,27421,37,21
69,30970,27413,37,21
70,30968,27411,36,22
71,30967,27418,37,21
72,30973,27422,38,22
73,30975,27425,37,22
74,30981,27429,36,21
75,30990,27426,36,21
76,30989,27431,37,23
77,30988,27430,36,22
78,30978,27429,36,21
79,30973,27433,37,22
80,30984,27441,38,22
81,30999,27432,35,22
82,30980,27423,35,22
83,30963,27432,36,22
84,30974,27432,36,23
85,30982,27436,37,21
86,30990,27431,35,22
87,30983,27428,36,23
88,30973,27434,37,22
89,30978,27427,36,20
90,30976,27439,35,20
91,30992,27433,35,22
92,30979,27437,36,22
93,30979,27434,37,21
94,30978,27434,36,21
95,30984,27435,37,22
96,30988,27433,37,22
97,30984,27442,36,22
