VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,27186,28335,35,19
1,27180,28334,37,21
2,27179,28329,36,20
3,27174,28337,35,23
4,27183,28341,38,21
5,27185,28346,36,21
6,27197,28343,35,20
7,27191,28329,36,22
8,27173,28336,37,20
9,27170,28345,36,20
10,27174,28337,35,19
11,27171,28339,37,19
12,27172,28333,37,21
13,27168,28334,37,19
14,27160,28334,36,22
15,27160,28337,38,20
16,27167,28340,37,21
17,27171,28339,36,21
18,27169,28344,38,22
19,27172,28341,38,21
20,27170,28341,36,22
21,27175,28336,38,21
22,27175,28326,38,23
23,27167,28330,38,20
24,27170,28330,38,20
25,27173,28326,37,20
26,27175,28329,37,21
27,27187,28325,37,20
28,27184,28329,38,22
29,27189,28332,37,22
30,27198,28341,35,21
31,27207,28334,37,19
32,27203,28330,37,21
33,27192,28335,36,21
34,27189,28335,36,22
35,27192,28324,36,22
36,27186,28333,36,21
37,27193,28340,37,20
38,27196,28334,36,22
39,27192,28337,35,22
40,27192,28337,36,21
41,27197,28340,36,21
42,27196,28339,36,22
43,27188,28340,37,20
44,27189,28333,38,21
45,27186,28334,37,22
46,27187,28337,36,22
47,27190,28332,36,18
48,27185,28338,37,20
49,27192,28330,36,21
50,27189,28332,37,21
51,27192,28337,37,22
52,27197,28339,35,21
53,27203,28338,38,21
54,27205,28332,35,20
55,27204,28339,36,21
56,27213,28342,38,20
57,27210,28336,35,21
58,27205,28331,38,22
59,27204,28338,36,18
60,27211,28335,37,21
61,27199,28339,37,22
62,27198,28332,36,22
63,27192,28340,36,20
64,27200,28337,37,20
65,27191,28337,39,22
66,27187,28342,37,19
67,27192,28333,35,22
68,27185,28337,36,20
69,27192,28334,36,21
70,27186,28333,36,23
71,27181,28336,36,21
72,27182,28333,37,19
73,27185,28334,37,20
74,27188,28327,35,21
75,27181,28326,36,21
76,27176,28330,36,20
77,27182,28335,37,20
78,27193,28324,37,21
79,27184,28330,37,19
80,27185,28331,37,22
81,27184,28318,35,21
82,27175,28328,36,21
83,27186,28330,37,20
84,27179,28331,35,21
85,27178,28329,34,22
86,27179,28330,37,19
87,27186,28328,36,22
88,27186,28326,35,22
89,27177,28336,39,22
90,27184,28329,35,21
91,27175,28331,36,22
92,27185,28336,37,20
93,27190,28326,36,21
94,27175,28336,37,21
95,27183,28329,36,22
96,27179,28331,36,21
97,27186,28331,37,21
98,27183,28332,36,22
99,27181,28335,37,21
100,27184,28332,36,20
101,27187,28334,36,21
102,27191,28331,38,21
103,27185,28326,37,21
104,27183,28330,37,22
105,27186,28330,37,20
106,27191,28330,37,21
107,27191,28331,38,19
108,27189,28331,39,20
109,27188,28334,39,20
110,27197,28335,40,22
111,27204,28337,41,22
112,27206,28342,41,21
113,27203,28343,42,22
114,27199,28346,42,22
115,27207,28341,42,22
116,27206,28340,42,22
117,27201,28342,41,22
118,27194,28337,41,20
119,27186,28335,42,22
120,27182,28341,42,21
121,27181,28335,43,21
122,27174,28343,44,23
123,27180,28334,43,21
124,27177,28337,41,21
125,27177,28330,42,21
126,27168,28335,41,23
127,27164,28331,41,22
128,27165,28327,43,22
129,27171,28333,42,21
130,27183,28333,41,23
131,27183,28340,44,21
132,27185,28336,42,21
133,27187,28327,41,23
134,27176,28330,43,21
135,27182,28336,42,21
136,27182,28329,42,23
137,27172,28334,41,20
