index,Raw_PPG1,Raw_PPG2,originalPPG1,originalPPG2
0,2.2409296792789495,2.266474508547986,29388,29723
1,2.1472144698113493,2.1363865123301458,28159,28017
2,2.150264598679294,2.1304387610376536,28199,27939
3,2.1436305683915142,2.133565143127297,28112,27980
4,2.1478244955849384,2.129981241707462,28167,27933
5,2.143554315169816,2.126854859617819,28111,27892
6,2.1400466669716796,2.131582559363133,28065,27954
7,2.1463756843726647,2.127007366061216,28148,27894
8,2.1401229201933782,2.1300574949291606,28066,27934
9,2.1438593280566103,2.1291424562687773,28115,27922
10,2.142334263622638,2.1281511643866953,28095,27909
11,2.141266718518857,2.1320400786933247,28081,27960
12,2.14607067148587,2.1271598725046132,28144,27896
13,2.140656692745268,2.1304387610376536,28073,27939
14,2.1452318860471853,2.12898994982538,28133,27920
15,2.1437830748349116,2.1267023531744216,28114,27890
16,2.14164798462735,2.1318113190282286,28086,27957
17,2.1477482423632397,2.1267786063961203,28166,27891
18,2.142334263622638,2.129371215933873,28095,27925
19,2.145918165042473,2.129371215933873,28142,27925
20,2.1463756843726647,2.1260923274008325,28148,27882
21,2.1432493022830212,2.130591267481051,28107,27941
22,2.1491970535755134,2.1271598725046132,28185,27896
23,2.1447743667169936,2.1287611901602843,28127,27917
24,2.146528190816062,2.131582559363133,28150,27954
25,2.1501120922358967,2.1257873145140382,28197,27878
26,2.143706821613213,2.1304387610376536,28113,27939
27,2.1487395342453217,2.1288374433819826,28179,27918
28,2.1461469247075686,2.129218709490476,28145,27923
29,2.1463756843726647,2.131963825471626,28148,27959
30,2.1493495600189108,2.127236125726312,28187,27897
31,2.142944289396227,2.131353799698037,28103,27951
32,2.1484345213585274,2.1297524820423663,28175,27930
33,2.1463756843726647,2.129599975598969,28148,27928
34,2.1456131521556783,2.1336413963489957,28138,27981
35,2.1491970535755134,2.1288374433819826,28185,27918
36,2.1431730490613226,2.132955117353708,28106,27972
37,2.1479770020283357,2.132345091580119,28169,27964
38,2.1469857101462537,2.13120129325464,28156,27949
39,2.1457656585990756,2.1360814994433515,28140,28013
