PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 4
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 6
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 1000
Sample Time: 1
Desired Samples: 1000

Start Tick: 227001 at 12-35-16.369 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
237,31180,15171,38,0
238,31182,15167,39,0
239,31176,15170,39,0
240,31178,15169,38,0
241,31167,15172,38,0
242,31174,15175,38,0
243,31176,15170,37,0
244,31165,15175,39,0
245,31170,15176,35,0
246,31176,15180,37,0
247,31179,15178,38,0
248,31175,15181,39,0
249,31181,15178,38,0
250,31177,15177,39,0
251,31174,15181,38,0
252,31175,15184,39,0
253,31180,15178,37,0
254,31166,15181,39,0
255,31173,15178,38,0
256,31166,15184,37,0
257,31175,15179,39,0
258,31162,15186,40,0
259,31173,15182,39,0
260,31164,15188,37,0
261,31173,15189,38,0
262,31171,15192,38,0
263,31187,15198,38,0
264,31190,15188,38,0
265,31170,15195,39,0
266,31186,15188,38,0
267,31171,15193,40,0
268,31180,15189,38,0
269,31170,15194,39,0
270,31179,15194,37,0
271,31172,15199,38,0
272,31181,15189,39,0
273,31165,15196,39,0
274,31179,15190,40,0
275,31168,15196,39,0
276,31184,15192,38,0
277,31175,15196,39,0
278,31179,15195,39,0
279,31183,15198,37,0
280,31186,15199,39,0
281,31189,15193,40,0
282,31179,15201,39,0
283,31190,15195,39,0
284,31180,15195,38,0
285,31179,15199,37,0
286,31178,15199,38,0
287,31179,15199,39,0
288,31176,15200,39,0
289,31180,15200,38,0
290,31181,15202,37,0
291,31187,15199,38,0
292,31186,15198,38,0
293,31189,15201,37,0
294,31188,15196,38,0
295,31184,15197,40,0
296,31187,15196,37,0
297,31187,15199,38,0
298,31186,15193,39,0
299,31182,15199,38,0
300,31190,15194,37,0
301,31179,15200,39,0
302,31187,15194,40,0
303,31176,15198,38,0
304,31184,15201,38,0
305,31184,15204,38,0
306,31197,15199,39,0
307,31186,15206,38,0
308,31202,15199,38,0
309,31191,15204,38,0
310,31199,15200,38,0
311,31190,15199,37,0
312,31192,15196,38,0
313,31187,15197,37,0
314,31190,15198,38,0
315,31191,15190,39,0
316,31178,15199,37,0
317,31193,15194,38,0
318,31181,15197,38,0
319,31193,15196,39,0
320,31188,15198,39,0
321,31195,15193,39,0
322,31190,15197,38,0
323,31200,15196,38,0
324,31192,15196,38,0
325,31195,15192,38,0
326,31190,15192,39,0
327,31193,15190,39,0
328,31189,15191,39,0
329,31195,15187,40,0
330,31185,15191,38,0
331,31189,15192,38,0
332,31189,15191,39,0
333,31188,15190,37,0
334,31189,15194,39,0
335,31196,15188,38,0
336,31188,15194,38,0
337,31201,15191,38,0
338,31193,15197,38,0
339,31206,15189,39,0
340,31204,15184,38,0
341,31193,15189,39,0
342,31202,15182,37,0
343,31191,15185,37,0
344,31199,15181,39,0
345,31189,15184,39,0
346,31195,15180,38,0
347,31191,15182,38,0
348,31202,15185,39,0
349,31202,15179,39,0
350,31197,15186,40,0
351,31208,15178,40,0
352,31202,15181,38,0
353,31210,15176,40,0
354,31204,15177,37,0
355,31207,15175,39,0
356,31201,15172,39,0
357,31199,15170,39,0
358,31195,15177,40,0
359,31207,15169,39,0
360,31191,15177,39,0
361,31202,15172,39,0
362,31196,15175,38,0
363,31204,15170,38,0
364,31198,15174,39,0
365,31213,15178,39,0
366,31216,15171,38,0
367,31206,15178,39,0
368,31219,15172,39,0
369,31211,15175,39,0
370,31215,15171,39,0
371,31208,15176,39,0
372,31217,15169,39,0
373,31204,15173,38,0
374,31207,15174,40,0
375,31209,15177,37,0
376,31209,15176,39,0
377,31210,15178,37,0
378,31216,15180,39,0
379,31220,15177,39,0
380,31218,15180,38,0
381,31221,15181,38,0
382,31227,15183,40,0
383,31223,15183,38,0
384,31221,15183,39,0
385,31222,15186,38,0
386,31221,15185,40,0
387,31223,15183,38,0
388,31216,15188,39,0
389,31221,15194,38,0
390,31223,15198,37,0
391,31229,15193,40,0
392,31221,15196,40,0
393,31226,15198,38,0
394,31232,15194,39,0
395,31227,15193,39,0
396,31232,15195,37,0
397,31240,15194,39,0
398,31234,15193,38,0
399,31229,15190,38,0
400,31224,15187,37,0
401,31221,15189,39,0
402,31225,15188,39,0
403,31222,15188,39,0
404,31217,15190,39,0
405,31227,15193,37,0
406,31234,15194,39,0
407,31235,15192,39,0
408,31233,15191,38,0
409,31234,15192,38,0
410,31239,15188,37,0
411,31232,15192,39,0
412,31237,15191,38,0
413,31235,15191,38,0
414,31233,15189,40,0
415,31227,15196,38,0
416,31236,15194,39,0
417,31228,15198,38,0
418,31228,15201,38,0
419,31233,15201,38,0
420,31235,15202,36,0
421,31235,15207,36,0
422,31242,15206,38,0
423,31242,15209,39,0
424,31245,15204,39,0
425,31238,15205,38,0
426,31240,15204,38,0
427,31234,15205,40,0
428,31231,15215,37,0
429,31243,15220,37,0
430,31244,15213,39,0
431,31225,15221,39,0
432,31238,15219,38,0
433,31233,15223,40,0
434,31229,15226,40,0
435,31234,15228,39,0
436,31237,15230,40,0
437,31236,15229,38,0
438,31228,15236,39,0
439,31243,15231,38,0
440,31227,15236,37,0
441,31235,15233,38,0
442,31225,15239,39,0
443,31228,15240,39,0
444,31223,15253,39,0
445,31231,15251,39,0
446,31226,15254,39,0
447,31228,15258,39,0
448,31229,15257,39,0
449,31225,15263,39,0
450,31233,15262,38,0
451,31227,15264,41,0
452,31226,15267,38,0
453,31227,15271,38,0
454,31225,15274,39,0
