PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 4
LED Wavelength: LED Red
PPG Channel: 2
DAC Value: 40 Voltage: 0.20V
PGA Gain Setting: 3
LED Wavelength: LED Red

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 151002 at 12-33-50.275 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,35435,16373,45,6
1,35449,16387,47,7
2,35456,16388,44,8
3,35452,16391,45,8
4,35455,16396,47,7
5,35461,16403,46,5
6,35461,16410,46,6
7,35470,16408,46,5
8,35467,16409,47,8
9,35475,16400,46,5
10,35468,16400,46,7
11,35477,16397,46,6
12,35479,16390,46,5
13,35478,16382,46,8
14,35487,16368,46,6
15,35477,16370,46,5
16,35495,16367,46,7
17,35487,16355,47,6
18,35491,16347,46,6
19,35503,16340,46,7
20,35498,16337,46,7
21,35509,16329,45,8
22,35509,16322,48,6
23,35502,16314,45,7
24,35517,16309,46,6
25,35521,16305,46,6
26,35516,16310,46,5
27,35528,16307,46,7
28,35533,16303,46,6
29,35534,16293,45,7
30,35527,16301,44,8
31,35534,16312,45,7
32,35529,16331,45,8
33,35523,16360,46,7
34,35513,16389,47,7
35,35498,16419,46,6
36,35492,16450,46,6
37,35492,16478,45,7
38,35481,16498,45,6
39,35472,16504,46,6
40,35465,16507,46,7
41,35461,16512,46,5
42,35470,16503,46,7
43,35454,16501,47,7
44,35464,16493,46,7
45,35471,16476,47,7
46,35470,16461,46,5
47,35473,16451,45,7
48,35480,16436,45,7
49,35481,16418,46,5
50,35489,16398,45,6
51,35496,16382,45,7
52,35500,16371,45,6
53,35511,16357,46,7
54,35503,16357,46,7
55,35521,16343,47,5
56,35512,16342,45,7
57,35507,16343,45,7
58,35506,16345,46,6
59,35503,16357,45,6
60,35508,16359,46,6
61,35501,16363,46,6
62,35507,16367,46,6
63,35506,16373,46,6
64,35513,16377,47,6
65,35519,16370,47,6
66,35516,16369,45,5
67,35517,16370,46,6
68,35516,16374,46,5
69,35518,16379,45,7
70,35523,16378,45,5
71,35531,16371,46,6
72,35532,16367,46,7
73,35536,16360,47,6
74,35537,16356,44,6
75,35537,16352,47,5
76,35543,16348,46,6
77,35549,16343,46,5
78,35554,16337,45,6
79,35546,16336,45,5
80,35559,16332,47,6
81,35563,16324,46,7
82,35563,16324,44,5
83,35572,16319,44,8
84,35566,16316,45,7
85,35573,16307,45,7
86,35572,16306,47,7
87,35575,16305,47,7
88,35577,16301,46,6
89,35572,16313,44,7
90,35574,16334,46,5
91,35560,16362,44,6
92,35553,16396,45,6
93,35552,16419,45,4
94,35534,16450,47,6
95,35514,16482,45,6
96,35519,16492,48,5
97,35501,16502,46,6
98,35499,16509,46,7
99,35502,16505,46,7
100,35495,16500,45,5
101,35496,16485,44,6
102,35491,16471,46,5
103,35494,16465,46,6
104,35498,16459,45,5
105,35504,16442,46,6
106,35502,16428,45,6
107,35506,16415,45,6
108,35515,16399,46,6
109,35520,16381,45,6
110,35520,16365,44,6
111,35528,16351,44,7
112,35534,16343,46,6
113,35538,16334,45,6
114,35544,16327,45,6
115,35539,16326,46,6
116,35538,16325,44,7
117,35543,16329,45,4
118,35548,16333,45,6
119,35545,16339,46,5
120,35536,16355,44,6
121,35551,16363,46,6
122,35549,16363,44,5
123,35548,16360,45,5
124,35540,16364,45,5
125,35547,16363,45,4
126,35551,16364,46,5
127,35556,16359,45,6
128,35553,16359,43,5
129,35557,16354,45,5
130,35548,16350,46,6
131,35558,16345,46,5
132,35568,16338,44,5
133,35564,16328,45,6
134,35562,16323,45,7
135,35570,16321,45,6
136,35566,16324,44,6
137,35581,16319,45,7
138,35578,16314,45,5
139,35584,16307,46,6
140,35580,16302,45,5
141,35587,16295,45,5
142,35591,16288,44,5
143,35583,16284,45,6
144,35597,16282,46,6
145,35594,16281,45,5
146,35585,16285,47,6
147,35585,16290,45,6
148,35581,16305,47,5
149,35571,16333,45,4
150,35573,16357,47,5
151,35557,16388,45,5
152,35553,16415,45,5
153,35541,16437,46,6
154,35529,16459,46,7
155,35518,16471,46,5
156,35505,16480,46,6
157,35510,16475,47,6
158,35501,16471,45,5
159,35497,16467,45,4
160,35498,16459,45,6
161,35504,16446,45,6
162,35504,16427,46,4
163,35499,16417,45,4
164,35506,16400,43,3
165,35496,16392,46,4
166,35500,16376,46,4
167,35511,16359,44,3
168,35508,16350,46,3
169,35520,16340,46,4
170,35520,16332,46,5
171,35521,16323,47,5
172,35522,16309,44,7
173,35522,16299,45,5
174,35520,16303,46,3
175,35517,16304,46,3
176,35508,16311,45,4
177,35510,16314,45,2
178,35511,16317,47,5
179,35519,16319,47,4
180,35514,16327,45,4
181,35516,16331,46,4
182,35519,16338,46,4
183,35507,16341,46,4
184,35520,16332,45,4
185,35511,16329,46,5
186,35507,16329,47,4
187,35517,16324,45,4
188,35510,16316,45,3
189,35509,16315,44,3
190,35510,16310,45,3
191,35509,16308,45,3
192,35514,16297,46,4
193,35513,16290,45,5
194,35511,16292,46,5
195,35528,16286,45,5
196,35523,16281,45,4
197,35521,16276,45,6
198,35524,16270,45,5
199,35524,16269,45,4
200,35536,16257,45,4
201,35530,16252,47,5
202,35527,16250,45,3
203,35540,16241,47,5
204,35541,16244,46,3
205,35546,16247,45,3
206,35541,16255,46,4
207,35538,16262,45,4
208,35532,16278,46,3
209,35518,16302,45,4
210,35510,16335,44,4
211,35511,16356,45,4
212,35492,16381,44,5
213,35490,16401,46,4
214,35484,16414,46,5
215,35474,16428,46,5
216,35481,16427,46,5
217,35479,16419,46,5
218,35484,16407,46,6
219,35479,16395,46,4
220,35480,16380,45,5
221,35478,16363,43,5
222,35471,16360,46,6
223,35486,16349,46,6
224,35484,16341,45,4
225,35487,16322,46,5
226,35495,16301,46,4
227,35501,16286,46,2
228,35503,16276,46,3
229,35507,16265,46,5
230,35507,16251,46,4
231,35503,16237,45,4
232,35499,16234,46,3
233,35514,16226,45,4
234,35493,16235,46,4
235,35502,16245,47,4
236,35501,16257,45,4
237,35496,16287,46,5
238,35497,16310,45,3
239,35496,16328,46,5
240,35490,16333,45,3
241,35484,16314,46,6
242,35467,16271,47,7
243,35452,16224,46,7
244,35422,16201,45,7
245,35388,16202,45,5
246,35375,16206,45,5
247,35374,16226,45,8
248,35382,16257,46,7
249,35404,16279,45,7
250,35415,16291,46,9
251,35439,16290,45,8
252,35461,16304,46,8
253,35476,16336,47,9
254,35500,16376,46,11
255,35522,16438,44,12
256,35550,16488,44,11
257,35594,16558,45,10
258,35640,16638,45,12
259,35686,16717,45,12
260,35745,16797,45,13
261,35810,16827,46,12
262,35860,16838,45,10
263,35894,16843,45,13
264,35905,16857,45,13
265,35917,16870,46,13
266,35940,16851,46,12
267,35949,16825,45,13
268,35957,16804,46,14
269,35950,16796,44,13
270,35952,16791,45,12
271,35952,16784,46,13
272,35947,16790,45,14
273,35946,16816,45,15
274,35962,16838,46,13
275,35964,16865,44,14
276,35977,16881,45,15
277,35979,16894,46,14
278,35984,16904,45,15
